Index	小韻	canonicalForm	反切	葉碼
1	東	通開一平東端	德紅	1_15
2	同	通開一平東定	徒紅	1_15/1_17
3	中	通開三平東知	陟弓	1_17
4	蟲	通開三平東澄	直弓	1_17
5	終	通開三平東章	職戎	1_17
6	忡	通開三平東徹	敕中	1_17
7	崇	通開三平東崇	鋤弓	1_17
8	嵩	通開三平東心	息弓	1_17
9	戎	通開三平東日	如融	1_17
10	弓	通開三平東見	居戎	1_17/1_18
11	融	通開三平東以	以戎	1_18
12	雄	通開三平東云	羽弓	1_18
13	瞢	通開三平東明	莫中	1_18
14	穹	通開三平東溪	去宮	1_18
15	窮	通開三平東羣	渠弓	1_18
16	馮	通開三平東並	房戎	1_18
17	風	通開三平東幫	方戎	1_18
18	豐	通開三平東滂	敷空	1_18
19	充	通開三平東昌	昌終	1_18
20	隆	通開三平東來	力中	1_18
21	空	通開一平東溪	苦紅	1_18
22	公	通開一平東見	古紅	1_18/1_19
23	蒙	通開一平東明	莫紅	1_20/1_19
24	籠	通開一平東來	盧紅	1_20
25	洪	通開一平東匣	戸公	1_20
26	叢	通開一平東從	徂紅	1_20
27	翁	通開一平東影	烏紅	1_20
28	怱	通開一平東清	倉紅	1_20
29	通	通開一平東透	他紅	1_20
30	葼	通開一平東精	子紅	1_21/1_20
31	蓬	通開一平東並	薄紅	1_21
32	烘	通開一平東曉	呼東	1_21
33	㟅	通開一平東疑	五東	1_21
34	檧	通開一平東心	蘇公	1_21
35	冬	通開一平冬端	都宗	1_21
36	彤	通開一平冬定	徒冬	1_21
37	賨	通開一平冬從	藏宗	1_21
38	農	通開一平冬泥	奴冬	1_21
39	攻	通開一平冬見	古冬	1_21
40	䃔	通開一平冬匣	戸冬	1_21
41	䃧	通開一平冬來	力冬	1_21
42	宗	通開一平冬精	作冬	1_21
43	鬆	通開一平冬心	私宗	1_21
44	炵	通開一平冬透	他冬	1_21
45	鍾	通開三平鍾章	職容	1_22
46	龍	通開三平鍾來	力鍾	1_22
47	舂	通開三平鍾書	書容	1_22
48	松	通開三平鍾邪	祥容	1_22
49	𧘂	通開三平鍾昌	尺容	1_22
50	容	通開三平鍾以	餘封	1_22
51	封	通開三平鍾幫	府容	1_22
52	胷	通開三平鍾曉	許容	1_23/1_22
53	顒	通開三平鍾疑	魚容	1_23
54	邕	通開三平鍾影	於容	1_23
55	醲	通開三平鍾孃	女容	1_23
56	重	通開三平鍾澄	直容	1_23
57	從	通開三平鍾從	疾容	1_23
58	蹱	通開三平鍾徹	丑凶	1_23
59	逢	通開三平鍾並	符容	1_23
60	峯	通開三平鍾滂	敷容	1_23
61	縱	通開三平鍾精	即容	1_23
62	茸	通開三平鍾日	而容	1_23
63	蛩	通開三平鍾羣	渠容	1_23
64	鱅	通開三平鍾常	蜀庸	1_23
65	恭	通開三平鍾見	九容	1_23/1_24
66	蜙	通開三平鍾心	息恭	1_24
67	樅	通開三平鍾清	七恭	1_24
68	銎	通開三平鍾溪	曲恭	1_24
69	江	江開二平江見	古雙	1_24
70	厖	江開二平江明	莫江	1_24
71	𦗳	江開二平江孃	女江	1_24
72	囪	江開二平江初	楚江	1_24
73	邦	江開二平江幫	博江	1_24
74	栙	江開二平江匣	下江	1_24
75	胮	江開二平江滂	匹江	1_24
76	瀧	江開二平江來	呂江	1_24
77	雙	江開二平江生	所江	1_24
78	龐	江開二平江並	薄江	1_24
79	肛	江開二平江曉	許江	1_25
80	胦	江開二平江影	握江	1_25
81	腔	江開二平江溪	苦江	1_25
82	幢	江開二平江澄	宅江	1_25
83	憃	江開二平江徹	丑江	1_25
84	樁	江開二平江知	都江	1_25
85	㟅	江開二平江疑	五江	1_25
86	淙	江開二平江崇	士江	1_25
87	支	止開三平支章	章移	1_25
88	移	止開三平支以	弋支	1_25
89	爲	止合三平支云	薳支	1_25/1_26
90	嬀	止合三平支見B	居爲	1_26
91	𪎮	止合三平支曉B	許爲	1_26
92	逶	止合三平支影B	於爲	1_26
93	糜	止開三平支明B	靡爲	1_26
94	隓	止合三平支曉A	許規	1_26
95	鬌	止合三平支澄	直垂	1_26
96	𡍮	止合三平支常	是爲	1_26
97	羸	止合三平支來	力爲	1_26
98	吹	止合三平支昌	昌垂	1_26
99	鈹	止開三平支滂B	敷羈	1_26
100	陂	止開三平支幫B	彼爲	1_26
101	隨	止合三平支邪	旬爲	1_26
102	虧	止合三平支溪B	去爲	1_26
103	闚	止合三平支溪A	去隨	1_26
104	竒	止開三平支羣B	渠羈	1_27/1_26
105	祇	止開三平支羣A	巨支	1_27
106	犧	止開三平支曉B	許羈	1_27
107	㩻	止開三平支溪B	去奇	1_27
108	宜	止開三平支疑B	魚羈	1_27
109	皮	止開三平支並B	符羈	1_27
110	提	止開三平支常	是支	1_27
111	兒	止開三平支日	汝移	1_27
112	離	止開三平支來	呂支	1_28/1_27
113	疵	止開三平支從	疾移	1_28
114	貲	止開三平支精	即移	1_28
115	羈	止開三平支見B	居宜	1_28
116	卑	止開三平支幫A	府移	1_28
117	陴	止開三平支並A	符支	1_28
118	䌳	止開三平支書	式支	1_28
119	斯	止開三平支心	息移	1_29/1_28
120	差	止開三平支初	楚宜	1_29
121	摛	止開三平支徹	丑知	1_29
122	彌	止開三平支明A	武移	1_29
123	雌	止開三平支清	此移	1_29
124	知	止開三平支知	陟離	1_29
125	漪	止開三平支影B	於離	1_29
