#榮經今呼大體同明清官話唯異變之處獨列于下			
變異條件	古呼	榮經今呼	例字
見組影組二等文讀	開齊	齊	監
二等白讀	開齊	開	鹹
藥韻之見組影組	齊	撮	藥
歌部之端組精組及來紐	開	合	羅
寒部舒聲之鞤組	合	開	半
尤部非組白讀	開	合	浮
微紐	開齊	合	微
東部舒聲精組及真部精組	撮	合	從
陽爻部之莊組	開	合	莊
章組及日紐	齊	開	章
章組及日紐	撮	合	出
東部來紐及質韻來紐	撮	合	龍
真部舒聲來紐及先部來紐	撮	開	淪

#凡未出韻之字其今韻概可以其古韻與今呼推知					
		舒		入	
洪武正韻韻部	榮經今呼	榮經今韻	例字	榮經今韻	例字
東	合	uŋ	東	wʊʔ	屋
	撮	yuŋ	窮	yʊʔ	足
支齊	開	ɚ 日紐	耳		
	開	ɨ 非日紐	子		
	合	weɪ	水		
	齊	i	離		
魚模	合	ʋ	模		
	撮	y	魚		
皆	開	aɪ	來		
	合	waɪ	乖		
	齊	jaɪ	皆		
灰	合	wei	灰		
真	開	ə̃	痕	ᴇʔ	質
	合	wə̃	魂	wʊʔ	骨
	齊	ĩ	因	jɪʔ	吉
	撮	yĩ	君	yɪʔ	橘
寒	開	ɛ̃	寒	ɤʔ	割
	合	wɛ̃	歡	wʊʔ	活
刪	開	ɛ̃	刪	ɐʔ	八
	合	wɛ̃	關	wɐʔ	刮
	齊	jɛ̃	閑	jɐʔ	轄
先	開	ɛ̃	戰	ᴇʔ	折
	合	wɛ̃	轉	wʊʔ	拙
	齊	jɛ̃	軒	jɪʔ	節
	撮	yɛ̃	緣	yɪʔ	月
蕭爻	開	ɑʊ	高		
	合	wa	爪		
	齊	jɑʊ	教		
歌	開	ɔ	歌		
	合	o	鍋		
	齊	i	茄		
	撮	y	靴		
麻	開	a	麻		
	合	wa	瓜		
	齊	ja	牙		
遮	開	aɪ	者		
	開	e 罕	車		
	齊	i	姐		
陽	開	ɑŋ	唐	ɤʔ	各
	合	wɑŋ	光	wʊʔ	霍
	齊	jɑŋ	陽		
	撮			yʊʔ	鵲
庚	開	ə̃	朋	ᴇʔ	客
	合	wə̃	橫(文)	wᴇʔ	國
	齊	ĩ	清	jɪʔ	脊
	撮	yĩ	榮	yʊʔ	域
尤	開	əʊ	溝		
	合	ʋ	浮		
	齊	jəʊ	有		
侵	開	ə̃	深	ᴇʔ	濕
	齊	ĩ	侵	jɪʔ	立
覃鹽	開	ɛ̃	感	ɐʔ 非見影組	答
	開	ɛ̃	談	ɤʔ 見影組	合
	齊	jɛ̃	廉	jɪʔ	急

見開合	k	歌
見齊撮	tɕ	肩
溪開合	kʰ	可
溪齊撮	tɕʰ	溪
羣平	tɕʰ	羣
羣仄	tɕ	近
疑紐歌部開口去聲	ɣ	餓
疑紐歌部開口平上聲	ŋ	我
疑紐開口非歌部	ŋ	岸
疑紐合口	w	外
疑齊撮文讀	ʑ	義
疑齊撮白讀	lⁿ	宜
端	t	端
透	tʰ	透
定平	tʰ	徒
定仄	t	定
泥紐支部	nʑ	泥
泥紐非支部	lⁿ	奴
鞤	p	鞤
滂	pʰ	滂
並平	pʰ	平
並仄	p	並
明	m	明
非奉	f	奉
微	w	微
精開合	ts	增
精齊撮	tɕ	精
清開合	tsʰ	麤
清齊撮	tɕʰ	清
從開合平	tsʰ	從
從開合仄	ts	自
從齊撮平	tɕʰ	秦
從齊撮仄	tɕ	疾
心邪開合	s	三
心邪齊撮	ɕ	心
照	ts	照
穿	tsʰ	穿
牀開合平	tsʰ	城
牀開合仄	ts	直
審禪	s	常
影開	ŋ	惡
影合	w	灣
影齊撮	ʑ	一
曉匣開合	x	河
曉匣齊撮	ɕ	曉
喻合	w	唯
喻齊撮	ʑ	容
來	lⁿ	來
日紐支部	∅	耳
日紐非支部	z	日

古調類	榮經今調值	例字
陰平	55	陰
陽平	21	陽
清上	53	舉
次濁上		我
全濁上	21 ~ 212 ~ 12	並
去		去
入	3	入
