CEDICT with Classical Mandarin pronunciation (中州音)		
v20200702		
Trascription curated by Hien-haw Liow		
License: cc-by-sa 3.0		
character	pronunciation	gloss
⺮	tʃyuʔᵏ	/"bamboo" radical in Chinese characters (Kangxi radical 118)/
〇	liŋ˩	/zero/
〡	ʔiʔᵗ	/numeral 1 in Suzhou numeral system 蘇州碼子|苏州码子/
〢	ɻ˨˦	/numeral 2 in Suzhou numeral system 蘇州碼子|苏州码子/
〣	sam	/numeral 3 in Suzhou numeral system 蘇州碼子|苏州码子/
〤	sɨ˨˦	/numeral 4 in Suzhou numeral system 蘇州碼子|苏州码子/
〥	ŋu˥˧	/numeral 5 in Suzhou numeral system 蘇州碼子|苏州码子/
〦	luʔᵏ˩	/numeral 6 in Suzhou numeral system 蘇州碼子|苏州码子/
〧	tsʰiʔᵗ	/numeral 7 in Suzhou numeral system 蘇州碼子|苏州码子/
〨	paʔᵗ	/numeral 8 in Suzhou numeral system 蘇州碼子|苏州码子/
〩	kiw˥˧	/numeral 9 in Suzhou numeral system 蘇州碼子|苏州码子/
㐅	ŋu˥˧	/archaic variant of 五/
㐌	ji˩	/variant of 它/
㐖	ɦiɛʔᵗ˩	/see 㐖毒/
㐜	kʱiw˩	/variant of 仇/
㑺	tsyun˨˦	/old variant of 俊/
㒸	sʱui˨˦	/archaic variant of 遂/
㒺	vɑŋ˥˧	/old variant of 罔/
㓂	kʰəw˨˦	/old variant of 寇/
㔾	tsiɛʔᵗ	/"seal" radical in Chinese characters (Kangxi radical 26)/
㕁	kʰiɒʔᵏ	/old variant of 卻|却/
㕑	tʃʱy˩	/old variant of 廚|厨/
㕥	ʃin	/old variant of 呻/
㕥	ji˥˧	/old variant of 以/
㕯	nuʔᵗ˩	/old variant of 訥|讷/
㗂	ʂəŋ˥˧	/variant of 省/tight-lipped/to examine/to watch/to scour (esp. Cantonese)/
㘭	ʔiaw	/variant of 坳/
㚻	kji	/see 㚻姦|㚻奸/
㚻姦	kji kian	/variant of 雞奸|鸡奸/
㛂	(ŋ)wɔ˥˧	/graceful/frail and petite/
㠯	ji˥˧	/old variant of 以/
㡌	maw˨˦	/old variant of 帽/
㥏	tʰiɛn˥˧	/ashamed/
㥦	kʰiɛʔᵖ	/variant of 愜|惬/
㩜	lam˥˧	/variant of 擥/
㮚	liʔᵗ˩	/old variant of 栗/
㲈	ʃʱiɛw˩	/variant of 韶/
㲈	ʃʱiɛw˩	/variant of 鞀|鼗/
㵎	kian˨˦	/variant of 澗|涧/
㷭	fuŋ	/old variant of 烽/
㹠	tʱun˩	/old variant of 豚/
䍃	jiɛw˩	/(archaic) vase/pitcher/
䕭	tsʱiɛm˩	/a variety of grass/nettle/
