# 洪武正韻字表
# version: 20200322
# author: hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# The pronunciation follows the system of 洪武正韻譯訓.
# Trailing ' denotes 全濁上聲 syllables pronounced as 去聲.
# The following common realization of the pronunciation is not marked explicitly:
#   Palatalization or fricativization of /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ /y/;
#   Merge of syllable codae -p -t -k into [ʔ];
#   Loss of breathiness in /ʂʱ/ /ʃʱ/ /sʱ/ /fʱ/ /ɦ/ which results in their merge into [ʂ] [ʃ] [s] [f] [h]~[x] respectively;
#   Merges of /iaw/ and /iɛw/.
# Credits:
#   Digitalization of 洪武正韻 gloss is done by Kanseki Repository and reorganized by hhliow.
#   Digitalization of 洪武正韻譯訓 syllabary is done by hhliow.
#   IPA transcription and data organization is done by hhliow (github.com/hhliow).
position	heading	char	ytenx_syllabary_entry	譯訓	ipa	gloss_literal
vol01_p01a_entry01	平聲¶¶¶一東¶¶	東	1	*두ᇰ	tuŋ	(徳紅切春方也說文動也从日在木中漢志少陽者東方東動也陽氣動於時為春又陽韻俗作東)
vol01_p01a_entry02		涷	1	*두ᇰ	tuŋ	(暴雨)¶(離騷云使涷雨兮灑塵郭璞曰江東呼夏月暴雨為涷又水名出發鳩山入河一曰瀧涷沾漬又送韻)
vol01_p01a_entry03		蝀	1	*두ᇰ	tuŋ	(螮蝀虹也)¶(又董送二韻)
vol01_p01a_entry04		冬	1	*두ᇰ	tuŋ	(四時之末漢志冬終也物終藏乃可稱)
vol01_p01a_entry05		𩂓	1	*두ᇰ	tuŋ	(雨貌)
vol01_p01a_entry06	○	通	2	*투ᇰ	tʰuŋ	(佗紅切達也徹也)¶↡¶
vol01_p01b_entry01		侗	2	*투ᇰ	tʰuŋ	(大貌一曰未成器之人又見下又董韻)
vol01_p01b_entry02		恫	2	*투ᇰ	tʰuŋ	(痛也說文作俑又送韻)
vol01_p01b_entry03		俑	2	*투ᇰ	tʰuŋ	(同上又偶人又董韻)¶
vol01_p01b_entry04		桐	2	*투ᇰ	tʰuŋ	(漢安世房中歌桐生荗豫顔師古曰桐讀為通言草木皆通達而生與通義同又見下)
vol01_p01b_entry05		蓪	2	*투ᇰ	tʰuŋ	(藥草有小孔通)¶(氣)
vol01_p01b_entry06	○	同	3	*뚜ᇰ	tʱuŋ˩	(徒紅切齊也共也合也通也道書作仝唐有盧㒰)
vol01_p01b_entry07		仝	3	*뚜ᇰ	tʱuŋ˩	(从人从工與仝不同㒰音全从入)¶
vol01_p01b_entry08		童	3	*뚜ᇰ	tʱuŋ˩	(奴也又目瞳子漢書舜盖重童子又十五以下謂之童子童獨也言未有室家也又漢書注山無草木曰童爾雅宛)¶(童說文蔦也詩注蔦即宛童寄生草也又音鍾夫童地名見公羊春秋)
vol01_p01b_entry09		僮	3	*뚜ᇰ	tʱuŋ˩	(未冠者通作童又頑也癡也僮僕也衛靑)¶(傳注僮者婢妾之摠稱又竦恭貌詩被之僮僮凡字異義同者不可雙押如桐生之桐與通達之通未冠之僮與童兒之童之)¶(類是也若字雖相通而别有異義各自據義分押不為重疊如偶人之俑與恫瘝之恫宛童之童與僮僕之僮竦恭之僮之類)¶(是也餘准此)
vol01_p01b_entry10		侗	3	*뚜ᇰ	tʱuŋ˩	(倥侗亦作桐揚子桐子之命)
vol01_p01b_entry11		曈	3	*뚜ᇰ	tʱuŋ˩	(日出又曈曨日欲明貌又董韻)
vol01_p01b_entry12		朣	3	*뚜ᇰ	tʱuŋ˩	(月出又朣朧月)¶↡¶(欲明貌)
vol01_p02a_entry01		瞳	3	*뚜ᇰ	tʱuŋ˩	(目瞳子史記舜目重瞳亦作童又音充未有知貌見莊子)
vol01_p02a_entry02		銅	3	*뚜ᇰ	tʱuŋ˩	(說文赤金)
vol01_p02a_entry03		峒	3	*뚜ᇰ	tʱuŋ˩	(崆峒山名亦作)¶(空同司馬彪注莊子云當北斗下山也漢武踰隴登空同列子作空桐爾雅北戴斗極為空桐一曰在梁國虞城東三十里又)¶(送韻)
vol01_p02a_entry04		桐	3	*뚜ᇰ	tʱuŋ˩	(木名又童子未成器之人又空桐山名又見上)
vol01_p02a_entry05		橦	3	*뚜ᇰ	tʱuŋ˩	(木名又見下及陽韻)
vol01_p02a_entry06		絧	3	*뚜ᇰ	tʱuŋ˩	(布名又董送二韻篆)¶(文从今作糸俗作糹)
vol01_p02a_entry07		罿	3	*뚜ᇰ	tʱuŋ˩	(鳥網爾雅繴謂之罿罿也謂之罦罦覆車也又見下)
vol01_p02a_entry08		𦨴	3	*뚜ᇰ	tʱuŋ˩	(舟名監本作卉名誤)¶
vol01_p02a_entry09		筒	3	*뚜ᇰ	tʱuŋ˩	(竹名又送韻)
vol01_p02a_entry10		筩	3	*뚜ᇰ	tʱuŋ˩	(斷竹又董韻)
vol01_p02a_entry11		穜	3	*뚜ᇰ	tʱuŋ˩	(禾先種後熟本作種陸徳明曰說文禾邊作重是重穋禾邊作)¶(童是穜蓺字今人亂之已久豳風作重穆又本韻董送韻)
vol01_p02a_entry12		種	3	*뚜ᇰ	tʱuŋ˩	(同上又見下及董送二韻)
vol01_p02a_entry13		重	3	*뚜ᇰ	tʱuŋ˩	(同上又見下及董送)¶(二韻)
vol01_p02a_entry14		潼	3	*뚜ᇰ	tʱuŋ˩	(水名出廣漢梓潼北界南入墊江又闗名又音衝)
vol01_p02a_entry15		衕	3	*뚜ᇰ	tʱuŋ˩	(通街又送韻)
vol01_p02a_entry16		鮦	3	*뚜ᇰ	tʱuŋ˩	(魚名一曰鱧也大曰)¶(鰹小曰鮵又董有二韻)
vol01_p02a_entry17		犝	3	*뚜ᇰ	tʱuŋ˩	(牛無角亦作童易童牛之牿)
vol01_p02a_entry18		𦏆	3	*뚜ᇰ	tʱuŋ˩	(羊無角亦作童詩俾出童羖)
vol01_p02a_entry19		酮	3	*뚜ᇰ	tʱuŋ˩	(馬酪)¶↡¶(一曰酢也又董韻)
vol01_p02b_entry01		挏	3	*뚜ᇰ	tʱuŋ˩	(引也漢有挏馬官作酒又董韻)
vol01_p02b_entry02		氃	3	*뚜ᇰ	tʱuŋ˩	(氋氃毛散貌)
vol01_p02b_entry03		詷	3	*뚜ᇰ	tʱuŋ˩	(共也又董送二韻)¶
vol01_p02b_entry04		戙	3	*뚜ᇰ	tʱuŋ˩	(繫船𣏾又送韻)
vol01_p02b_entry05		艟	3	*뚜ᇰ	tʱuŋ˩	(艨艟戰船又見下及漾韻)
