# 洪武正韻譯訓字表
# v20200322
# Compiled by hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# Trailing ' denotes 全濁上聲 syllables pronounced as 去聲.
# Modern vocalization (e. g. that found in theatry and Southwest Mandarin) may
#   palatalize or frictivize /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ /y/,
#   merge syllable codae -p -t -k to [ʔ],
#   drop breathiness in /ʂʱ/ /ʃʱ/ /sʱ/ /fʱ/ /ɦ/, and
#   merge /iaw/ and /iɛw/.
# Credits:
#   The gloss is adapted from digitalized text of 洪武正韻 in Kanseki Repository.
#   Digitalization and transliteration of 洪武正韻譯訓 syllabary is done by hhliow (github.com/hhliow).
# Reference:
#   成元慶 洪武正韻譯訓音研究
#   高田時雄 明末官話調值小考
char	譯訓	ipa	gloss
東	*두ᇰ	tuŋ	徳紅切春方也說文動也从日在木中漢志少陽者東方東動也陽氣動於時為春又陽韻俗作東
涷	*두ᇰ	tuŋ	暴雨離騷云使涷雨兮灑塵郭璞曰江東呼夏月暴雨為涷又水名出發鳩山入河一曰瀧涷沾漬又送韻
蝀	*두ᇰ	tuŋ	螮蝀虹也又董送二韻
冬	*두ᇰ	tuŋ	四時之末漢志冬終也物終藏乃可稱
𩂓	*두ᇰ	tuŋ	雨貌
通	*투ᇰ	tʰuŋ	佗紅切達也徹也
侗	*투ᇰ	tʰuŋ	大貌一曰未成器之人又見下又董韻
恫	*투ᇰ	tʰuŋ	痛也說文作俑又送韻
俑	*투ᇰ	tʰuŋ	同上又偶人又董韻
桐	*투ᇰ	tʰuŋ	漢安世房中歌桐生荗豫顔師古曰桐讀為通言草木皆通達而生與通義同又見下
蓪	*투ᇰ	tʰuŋ	藥草有小孔通氣
同	*뚜ᇰ	tʱuŋ˩	徒紅切齊也共也合也通也道書作仝唐有盧㒰
仝	*뚜ᇰ	tʱuŋ˩	从人从工與仝不同㒰音全从入
童	*뚜ᇰ	tʱuŋ˩	奴也又目瞳子漢書舜盖重童子又十五以下謂之童子童獨也言未有室家也又漢書注山無草木曰童爾雅宛童說文蔦也詩注蔦即宛童寄生草也又音鍾夫童地名見公羊春秋
僮	*뚜ᇰ	tʱuŋ˩	未冠者通作童又頑也癡也僮僕也衛靑傳注僮者婢妾之摠稱又竦恭貌詩被之僮僮凡字異義同者不可雙押如桐生之桐與通達之通未冠之僮與童兒之童之類是也若字雖相通而别有異義各自據義分押不為重疊如偶人之俑與恫瘝之恫宛童之童與僮僕之僮竦恭之僮之類是也餘准此
侗	*뚜ᇰ	tʱuŋ˩	倥侗亦作桐揚子桐子之命
曈	*뚜ᇰ	tʱuŋ˩	日出又曈曨日欲明貌又董韻
朣	*뚜ᇰ	tʱuŋ˩	月出又朣朧月欲明貌
瞳	*뚜ᇰ	tʱuŋ˩	目瞳子史記舜目重瞳亦作童又音充未有知貌見莊子
銅	*뚜ᇰ	tʱuŋ˩	說文赤金
峒	*뚜ᇰ	tʱuŋ˩	崆峒山名亦作空同司馬彪注莊子云當北斗下山也漢武踰隴登空同列子作空桐爾雅北戴斗極為空桐一曰在梁國虞城東三十里又送韻
桐	*뚜ᇰ	tʱuŋ˩	木名又童子未成器之人又空桐山名又見上
橦	*뚜ᇰ	tʱuŋ˩	木名又見下及陽韻
絧	*뚜ᇰ	tʱuŋ˩	布名又董送二韻篆文从今作糸俗作糹
罿	*뚜ᇰ	tʱuŋ˩	鳥網爾雅繴謂之罿罿也謂之罦罦覆車也又見下
𦨴	*뚜ᇰ	tʱuŋ˩	舟名監本作卉名誤
筒	*뚜ᇰ	tʱuŋ˩	竹名又送韻
筩	*뚜ᇰ	tʱuŋ˩	斷竹又董韻
穜	*뚜ᇰ	tʱuŋ˩	禾先種後熟本作種陸徳明曰說文禾邊作重是重穋禾邊作童是穜蓺字今人亂之已久豳風作重穆又本韻董送韻
種	*뚜ᇰ	tʱuŋ˩	同上又見下及董送二韻
重	*뚜ᇰ	tʱuŋ˩	同上又見下及董送二韻
潼	*뚜ᇰ	tʱuŋ˩	水名出廣漢梓潼北界南入墊江又闗名又音衝
衕	*뚜ᇰ	tʱuŋ˩	通街又送韻
鮦	*뚜ᇰ	tʱuŋ˩	魚名一曰鱧也大曰鰹小曰鮵又董有二韻
犝	*뚜ᇰ	tʱuŋ˩	牛無角亦作童易童牛之牿
𦏆	*뚜ᇰ	tʱuŋ˩	羊無角亦作童詩俾出童羖
酮	*뚜ᇰ	tʱuŋ˩	馬酪一曰酢也又董韻
挏	*뚜ᇰ	tʱuŋ˩	引也漢有挏馬官作酒又董韻
氃	*뚜ᇰ	tʱuŋ˩	氋氃毛散貌
詷	*뚜ᇰ	tʱuŋ˩	共也又董送二韻
戙	*뚜ᇰ	tʱuŋ˩	繫船𣏾又送韻
艟	*뚜ᇰ	tʱuŋ˩	艨艟戰船又見下及漾韻
彤	*뚜ᇰ	tʱuŋ˩	赤也丹飾也又姓
㤏	*뚜ᇰ	tʱuŋ˩	恎㤏惶遽
𢥞	*뚜ᇰ	tʱuŋ˩	憂也
鼕	*뚜ᇰ	tʱuŋ˩	鼔聲
浵	*뚜ᇰ	tʱuŋ˩	汪浵水深
龍	*류ᇰ俗*루ᇰ	l(y)uŋ˩	盧容切鱗蟲之長爾雅馬高八尺為龍又通也和也詩何天之龍我龍受之毛如字鄭讀作寵左傳董父擾龍事舜賜氏曰豢龍劉累學擾龍事孔甲賜氏曰御龍句龍為后土氏曰句龍御音迓句音鉤又陽董二韻
𪚝	*류ᇰ俗*루ᇰ	l(y)uŋ˩	圭為龍文
籠	*류ᇰ俗*루ᇰ	l(y)uŋ˩	舉土器一曰養鳥籠又籦籠竹名又東籠與涷瀧同沾濕貌又董韻
櫳	*류ᇰ俗*루ᇰ	luŋ˩	養獸檻也牢也
㰍	*류ᇰ俗*루ᇰ	luŋ˩	房屋之疏通作櫳
䆍	*류ᇰ俗*루ᇰ	luŋ˩	穧也一曰禾病也
聾	*류ᇰ俗*루ᇰ	luŋ˩	耳病
嚨	*류ᇰ俗*루ᇰ	luŋ˩	喉也肮也
曨	*류ᇰ俗*루ᇰ	luŋ˩	日出貌又曈曨曰欲明貌又董韻
