index	廣韻小韻	middle_chinese_transcription	mandarin
1	東	通開一平東端	tuwng	tuŋ
2	同	通開一平東定	duwng	tɦȕŋ
3	中	通開三平東知	trjuwng	tʃyuŋ
4	蟲	通開三平東澄	drjuwng	tʃɦyȕŋ
5	終	通開三平東章	tsyuwng	tʃyuŋ
6	忡	通開三平東徹	trhjuwng	tʃhyuŋ
7	崇	通開三平東崇	dzrjuwng	ʈʂɦȕŋ
8	嵩	通開三平東心	sjuwng	syuŋ
9	戎	通開三平東日	nyuwng	ʒyȕŋ
10	弓	通開三平東見	kjuwng	kyuŋ
11	融	通開三平東以	yuwng	jyȕŋ
12	雄	通開三平東云	hjuwng	jyȕŋ
13	瞢	通開三平東明	mjuwng	mȕŋ
14	穹	通開三平東溪	khjuwng	khyuŋ
15	窮	通開三平東羣	gjuwng	kɦyȕŋ
16	馮	通開三平東並	bjuwng	fvȕŋ
17	風	通開三平東幫	pjuwng	fuŋ
18	豐	通開三平東滂	phjuwng	fuŋ
19	充	通開三平東昌	tsyhuwng	tʃhyuŋ
20	隆	通開三平東來	ljuwng	lyȕŋ
21	空	通開一平東溪	khuwng	khuŋ
22	公	通開一平東見	kuwng	kuŋ
23	蒙	通開一平東明	muwng	mȕŋ
24	籠	通開一平東來	luwng	lȕŋ
25	洪	通開一平東匣	huwng	ɦȕŋ
26	叢	通開一平東從	dzuwng	tsɦȕŋ
27	翁	通開一平東影	'uwng	ʔuŋ
28	怱	通開一平東清	tshuwng	tshuŋ
29	通	通開一平東透	thuwng	thuŋ
30	葼	通開一平東精	tsuwng	tsuŋ
31	蓬	通開一平東並	buwng	pɦȕŋ
32	烘	通開一平東曉	xuwng	huŋ
33	㟅	通開一平東疑	nguwng	ŋȕŋ
34	檧	通開一平東心	suwng	suŋ
35	冬	通開一平冬端	towng	tuŋ
36	彤	通開一平冬定	downg	tɦȕŋ
37	賨	通開一平冬從	dzowng	tsɦȕŋ
38	農	通開一平冬泥	nowng	nȕŋ
39	攻	通開一平冬見	kowng	kuŋ
40	䃔	通開一平冬匣	howng	ɦȕŋ
41	䃧	通開一平冬來	lowng	lȕŋ
42	宗	通開一平冬精	tsowng	tsuŋ
43	鬆	通開一平冬心	sowng	suŋ
44	炵	通開一平冬透	thowng	thuŋ
45	鍾	通開三平鍾章	tsyowng	tʃyuŋ
46	龍	通開三平鍾來	ljowng	lyȕŋ
47	舂	通開三平鍾書	syowng	ʃyuŋ
48	松	通開三平鍾邪	zjowng	szyȕŋ
49	𧘂	通開三平鍾昌	tsyhowng	tʃhyuŋ
50	容	通開三平鍾以	yowng	jyȕŋ
51	封	通開三平鍾幫	pjowng	fuŋ
52	胷	通開三平鍾曉	xjowng	hyuŋ
53	顒	通開三平鍾疑	ngjowng	ŋjyȕŋ
54	邕	通開三平鍾影	'jowng	ʔyuŋ
55	醲	通開三平鍾孃	nrjowng	nyȕŋ
56	重	通開三平鍾澄	drjowng	tʃɦyȕŋ
57	從	通開三平鍾從	dzjowng	tsɦyȕŋ
58	蹱	通開三平鍾徹	trhjowng	tʃhyuŋ
59	逢	通開三平鍾並	bjowng	fvȕŋ
60	峯	通開三平鍾滂	phjowng	fuŋ
61	縱	通開三平鍾精	tsjowng	tsyuŋ
62	茸	通開三平鍾日	nyowng	ʒyȕŋ
63	蛩	通開三平鍾羣	gjowng	kɦyȕŋ
64	鱅	通開三平鍾常	dzyowng	ʃʒyȕŋ
65	恭	通開三平鍾見	kjowng	kyuŋ
66	蜙	通開三平鍾心	sjowng	syuŋ
67	樅	通開三平鍾清	tshjowng	tshyuŋ
68	銎	通開三平鍾溪	khjowng	khyuŋ
69	江	江開二平江見	kaewng	kiɑŋ
70	厖	江開二平江明	maewng	mɑ̏ŋ
71	𦗳	江開二平江孃	nraewng	nɑ̏ŋ
72	囪	江開二平江初	tsrhaewng	ʈʂhwɑŋ
73	邦	江開二平江幫	paewng	pɑŋ
74	栙	江開二平江匣	haewng	ɦiɑ̏ŋ
75	胮	江開二平江滂	phaewng	phɑŋ
76	瀧	江開二平江來	laewng	lɑ̏ŋ
77	雙	江開二平江生	sraewng	ʂwɑŋ
78	龐	江開二平江並	baewng	pɦɑ̏ŋ
79	肛	江開二平江曉	xaewng	hiɑŋ
80	胦	江開二平江影	'aewng	ʔiɑŋ
81	腔	江開二平江溪	khaewng	khiɑŋ
82	幢	江開二平江澄	draewng	ʈʂɦwɑ̏ŋ
83	憃	江開二平江徹	trhaewng	ʈʂhwɑŋ
84	樁	江開二平江知	traewng	ʈʂwɑŋ
85	㟅	江開二平江疑	ngaewng	ŋjiɑ̏ŋ
86	淙	江開二平江崇	dzraewng	ʈʂɦwɑ̏ŋ
87	支	止開三平支章	tsye	tʃiɨ
88	移	止開三平支以	ye	jȉ
89	爲	止合三平支云	hjwe	ȕi
90	嬀	止合三平支見B	kjwe	kui
91	𪎮	止合三平支曉B	xjwe	hui
92	逶	止合三平支影B	'jwe	ʔui
93	糜	止開三平支明B	mje	mȉ
94	隓	止合三平支曉A	xjwie	hui
95	鬌	止合三平支澄	drjwe	ʈʂɦȕi
96	𡍮	止合三平支常	dzywe	ʂʐȕi
97	羸	止合三平支來	ljwe	lȕi
98	吹	止合三平支昌	tsyhwe	ʈʂhui
99	鈹	止開三平支滂B	phje	phi
100	陂	止開三平支幫B	pje	pi
101	隨	止合三平支邪	zjwe	szȕi
102	虧	止合三平支溪B	khjwe	khui
103	闚	止合三平支溪A	khjwie	khui
104	竒	止開三平支羣B	gje	kɦȉ
105	祇	止開三平支羣A	gjie	kɦȉ
106	犧	止開三平支曉B	xje	hi
107	㩻	止開三平支溪B	khje	khi
108	宜	止開三平支疑B	ngje	ŋjȉ
109	皮	止開三平支並B	bje	pɦȉ
110	提	止開三平支常	dzye	ʃʒiɨ̏
111	兒	止開三平支日	nye	ɻ̏
112	離	止開三平支來	lje	lȉ
113	疵	止開三平支從	dzje	tsɦɨ̏
114	貲	止開三平支精	tsje	tsɨ
115	羈	止開三平支見B	kje	ki
116	卑	止開三平支幫A	pjie	pi
117	陴	止開三平支並A	bjie	pɦȉ
118	䌳	止開三平支書	sye	ʃiɨ
119	斯	止開三平支心	sje	sɨ
120	差	止開三平支初	tsrhje	ʈʂhɨ
121	摛	止開三平支徹	trhje	tʃhi
122	彌	止開三平支明A	mjie	mȉ
123	雌	止開三平支清	tshje	tshɨ
124	知	止開三平支知	trje	tʃi
125	漪	止開三平支影B	'je	ʔi
126	馳	止開三平支澄	drje	tʃɦȉ
127	眭	止合三平支心	sjwe	sui
128	危	止合三平支疑B	ngjwe	ŋȕi
129	詑	止開三平支曉A	xjie	hi
130	釃	止開三平支生	srje	ʂɨ
131	䪎	止合三平支生	srjwe	ʂui
132	痿	止合三平支日	nywe	ʒȕi
133	厜	止開三平支精	tsje	tsɨ
134	𩓸	止合三平支見A	kjwie	kui
135	劑	止合三平支精	tsjwe	tsui
136	衰	止合三平支初	tsrhjwe	ʈʂhui
137	腄	止合三平支知	trjwe	ʈʂui
138	䮔	止合三平支精	tsjwe	tsui
139	眵	止開三平支昌	tsyhe	tʃhiɨ
140	齜	止開三平支莊	tsrje	ʈʂɨ
141	𤿎	止開三平支滂A	phjie	phi
142	䔺	止合三平支以	ywe	ȕi
143	齹	止開三平支崇	dzrje	ʈʂɦɨ̏
144	脂	止開三平脂章	tsyij	tʃiɨ
145	姨	止開三平脂以	yij	jȉ
146	師	止開三平脂生	srij	ʂɨ
147	𣬈	止開三平脂並A	bjij	pɦȉ
148	咨	止開三平脂精	tsij	tsɨ
149	飢	止開三平脂見B	kij	ki
150	鴟	止開三平脂昌	tsyhij	tʃhiɨ
151	絺	止開三平脂徹	trhij	tʃhi
152	郪	止開三平脂清	tshij	tshɨ
153	茨	止開三平脂從	dzij	tsɦɨ̏
154	尼	止開三平脂孃	nrij	nȉ
155	墀	止開三平脂澄	drij	tʃɦȉ
156	私	止開三平脂心	sij	sɨ
157	尸	止開三平脂書	syij	ʃiɨ
158	鬐	止開三平脂羣B	gij	kɦȉ
159	伊	止開三平脂影A	'jij	ʔi
160	棃	止開三平脂來	lij	lȉ
161	葵	止合三平脂羣A	gjwij	kɦȕi
162	追	止合三平脂知	trwij	ʈʂui
163	龜	止合三平脂見B	kwij	kui
164	蕤	止合三平脂日	nywij	ʒȕi
165	衰	止合三平脂生	srwij	ʂui
166	惟	止合三平脂以	ywij	ȕi
167	㶟	止合三平脂來	lwij	lȕi
168	綏	止合三平脂心	swij	sui
169	逵	止合三平脂羣B	gwij	kɦȕi
170	眉	止開三平脂明B	mij	mȉ
171	悲	止開三平脂幫B	pij	pi
172	錐	止合三平脂章	tsywij	ʈʂui
173	誰	止合三平脂常	dzywij	ʂʐȕi
174	帷	止合三平脂云	hwij	ȕi
175	邳	止開三平脂並B	bij	pɦȉ
176	丕	止開三平脂滂B	phij	phi
177	倠	止合三平脂曉A	xjwij	hui
178	鎚	止合三平脂澄	drwij	ʈʂɦȕi
179	推	止合三平脂昌	tsyhwij	ʈʂhui
180	胝	止開三平脂知	trij	tʃi
181	紕	止開三平脂滂A	phjij	phi
182	嶉	止合三平脂精	tswij	tsui
183	巋	止合三平脂溪B	khwij	khui
184	狋	止開三平脂疑B	ngij	ŋjȉ
185	咦	止開三平脂曉A	xjij	hi
