# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
1	東	通開一平東端	tuwng	tuŋ	ㄉㄨㆭ	ㄉㄨㄥ
2	同	通開一平東定	duwng	tʱuŋ˩	꜁ㄊㄨㆭ	꜁ㄊㄨㄥ
3	中	通開三平東知	trjuwng	tʃyuŋ	ㄓㄩㄨㆭ	ㄓㄨㄥ
4	蟲	通開三平東澄	drjuwng	tʃʱyuŋ˩	꜁ㄔㄩㄨㆭ	꜁ㄔㄨㄥ
5	終	通開三平東章	tsyuwng	tʃyuŋ	ㄓㄩㄨㆭ	ㄓㄨㄥ
6	忡	通開三平東徹	trhjuwng	tʃʰyuŋ	ㄔㄩㄨㆭ	ㄔㄨㄥ
7	崇	通開三平東崇	dzrjuwng	ʈʂʱuŋ˩	꜁ㄔㄨㆭ	꜁ㄔㄨㄥ
8	嵩	通開三平東心	sjuwng	syuŋ	ㄙㄩㄨㆭ	ㄙㄨㄥ
9	戎	通開三平東日	nyuwng	ʒyuŋ˩	꜁ㄖㄩㄨㆭ	꜁ㄖㄨㄥ
10	弓	通開三平東見	kjuwng	kyuŋ	ㄐㄩㄨㆭ	ㄍㄨㄥ
11	融	通開三平東以	yuwng	jyuŋ˩	꜁ㄩㄨㆭ	꜁ㄩㄥ
12	雄	通開三平東云	hjuwng	jyuŋ˩	꜁ㄩㄨㆭ	꜁ㄩㄥ
13	瞢	通開三平東明	mjuwng	muŋ˩	꜁ㄇㄨㆭ	꜁ㄇㄨㄥ
14	穹	通開三平東溪	khjuwng	kʰyuŋ	ㄑㄩㄨㆭ	ㄑㄩㄥ
15	窮	通開三平東羣	gjuwng	kʱyuŋ˩	꜁ㄑㄩㄨㆭ	꜁ㄑㄩㄥ
16	馮	通開三平東並	bjuwng	fʱuŋ˩	꜁ㄈㄨㆭ	꜁ㄈㄨㄥ
17	風	通開三平東幫	pjuwng	fuŋ	ㄈㄨㆭ	ㄈㄨㄥ
18	豐	通開三平東滂	phjuwng	fuŋ	ㄈㄨㆭ	ㄈㄨㄥ
19	充	通開三平東昌	tsyhuwng	tʃʰyuŋ	ㄔㄩㄨㆭ	ㄔㄨㄥ
20	隆	通開三平東來	ljuwng	lyuŋ˩	꜁ㄌㄩㄨㆭ	꜁ㄌㄨㄥ
21	空	通開一平東溪	khuwng	kʰuŋ	ㄎㄨㆭ	ㄎㄨㄥ
22	公	通開一平東見	kuwng	kuŋ	ㄍㄨㆭ	ㄍㄨㄥ
23	蒙	通開一平東明	muwng	muŋ˩	꜁ㄇㄨㆭ	꜁ㄇㄨㄥ
24	籠	通開一平東來	luwng	luŋ˩	꜁ㄌㄨㆭ	꜁ㄌㄨㄥ
25	洪	通開一平東匣	huwng	ɦuŋ˩	꜁ㄏㄨㆭ	꜁ㄏㄨㄥ
26	叢	通開一平東從	dzuwng	tsʱuŋ˩	꜁ㄘㄨㆭ	꜁ㄘㄨㄥ
27	翁	通開一平東影	’uwng	ʔuŋ	ㄨㆭ	ㄨㄥ
28	怱	通開一平東清	tshuwng	tsʰuŋ	ㄘㄨㆭ	ㄘㄨㄥ
29	通	通開一平東透	thuwng	tʰuŋ	ㄊㄨㆭ	ㄊㄨㄥ
30	葼	通開一平東精	tsuwng	tsuŋ	ㄗㄨㆭ	ㄗㄨㄥ
31	蓬	通開一平東並	buwng	pʱuŋ˩	꜁ㄆㄨㆭ	꜁ㄆㄨㄥ
32	烘	通開一平東曉	xuwng	huŋ	ㄏㄨㆭ	ㄏㄨㄥ
33	㟅	通開一平東疑	nguwng	ŋuŋ˩	꜁ㄫㄨㆭ	꜁ㄨㄥ
34	檧	通開一平東心	suwng	suŋ	ㄙㄨㆭ	ㄙㄨㄥ
35	冬	通開一平冬端	towng	tuŋ	ㄉㄨㆭ	ㄉㄨㄥ
36	彤	通開一平冬定	downg	tʱuŋ˩	꜁ㄊㄨㆭ	꜁ㄊㄨㄥ
37	賨	通開一平冬從	dzowng	tsʱuŋ˩	꜁ㄘㄨㆭ	꜁ㄘㄨㄥ
38	農	通開一平冬泥	nowng	nuŋ˩	꜁ㄋㄨㆭ	꜁ㄋㄨㄥ
39	攻	通開一平冬見	kowng	kuŋ	ㄍㄨㆭ	ㄍㄨㄥ
40	䃔	通開一平冬匣	howng	ɦuŋ˩	꜁ㄏㄨㆭ	꜁ㄏㄨㄥ
41	䃧	通開一平冬來	lowng	luŋ˩	꜁ㄌㄨㆭ	꜁ㄌㄨㄥ
42	宗	通開一平冬精	tsowng	tsuŋ	ㄗㄨㆭ	ㄗㄨㄥ
43	鬆	通開一平冬心	sowng	suŋ	ㄙㄨㆭ	ㄙㄨㄥ
44	炵	通開一平冬透	thowng	tʰuŋ	ㄊㄨㆭ	ㄊㄨㄥ
45	鍾	通開三平鍾章	tsyowng	tʃyuŋ	ㄓㄩㄨㆭ	ㄓㄨㄥ
46	龍	通開三平鍾來	ljowng	lyuŋ˩	꜁ㄌㄩㄨㆭ	꜁ㄌㄨㄥ
47	舂	通開三平鍾書	syowng	ʃyuŋ	ㄕㄩㄨㆭ	ㄕㄨㄥ
48	松	通開三平鍾邪	zjowng	sʱyuŋ˩	꜁ㄙㄩㄨㆭ	꜁ㄙㄨㄥ
49	𧘂	通開三平鍾昌	tsyhowng	tʃʰyuŋ	ㄔㄩㄨㆭ	ㄔㄨㄥ
50	容	通開三平鍾以	yowng	jyuŋ˩	꜁ㄩㄨㆭ	꜁ㄩㄥ
51	封	通開三平鍾幫	pjowng	fuŋ	ㄈㄨㆭ	ㄈㄨㄥ
52	胷	通開三平鍾曉	xjowng	hyuŋ	ㄒㄩㄨㆭ	ㄒㄩㄥ
53	顒	通開三平鍾疑	ngjowng	(ŋ)yuŋ˩	꜁(ㄫ)ㄩㄨㆭ	꜁(ㄫ)ㄩㄥ
54	邕	通開三平鍾影	’jowng	ʔyuŋ	ㄩㄨㆭ	ㄩㄥ
55	醲	通開三平鍾孃	nrjowng	nyuŋ˩	꜁ㄋㄩㄨㆭ	꜁ㄋㄩㄥ
56	重	通開三平鍾澄	drjowng	tʃʱyuŋ˩	꜁ㄔㄩㄨㆭ	꜁ㄔㄨㄥ
57	從	通開三平鍾從	dzjowng	tsʱyuŋ˩	꜁ㄘㄩㄨㆭ	꜁ㄘㄨㄥ
58	蹱	通開三平鍾徹	trhjowng	tʃʰyuŋ	ㄔㄩㄨㆭ	ㄔㄨㄥ
59	逢	通開三平鍾並	bjowng	fʱuŋ˩	꜁ㄈㄨㆭ	꜁ㄈㄨㄥ
60	峯	通開三平鍾滂	phjowng	fuŋ	ㄈㄨㆭ	ㄈㄨㄥ
61	縱	通開三平鍾精	tsjowng	tsyuŋ	ㄗㄩㄨㆭ	ㄗㄨㄥ
62	茸	通開三平鍾日	nyowng	ʒyuŋ˩	꜁ㄖㄩㄨㆭ	꜁ㄖㄨㄥ
63	蛩	通開三平鍾羣	gjowng	kʱyuŋ˩	꜁ㄑㄩㄨㆭ	꜁ㄑㄩㄥ
64	鱅	通開三平鍾常	dzyowng	ʃʱyuŋ˩/ʒyuŋ˩	꜁ㄕㄩㄨㆭ/꜁ㄖㄩㄨㆭ	꜁ㄕㄨㄥ/꜁ㄩㄨㄥ
65	恭	通開三平鍾見	kjowng	kyuŋ	ㄐㄩㄨㆭ	ㄍㄨㄥ
66	蜙	通開三平鍾心	sjowng	syuŋ	ㄙㄩㄨㆭ	ㄙㄨㄥ
67	樅	通開三平鍾清	tshjowng	tsʰyuŋ	ㄘㄩㄨㆭ	ㄘㄨㄥ
68	銎	通開三平鍾溪	khjowng	kʰyuŋ	ㄑㄩㄨㆭ	ㄑㄩㄥ
69	江	江開二平江見	kaewng	kiɑŋ	ㄐㄧㄤ	ㄐㄧㄤ
70	厖	江開二平江明	maewng	mɑŋ˩	꜁ㄇㄤ	꜁ㄇㄤ
71	𦗳	江開二平江孃	nraewng	nɑŋ˩	꜁ㄋㄤ	꜁ㄋㄤ
72	囪	江開二平江初	tsrhaewng	ʈʂʰwɑŋ	ㄔㄨㄤ	ㄔㄨㄤ
73	邦	江開二平江幫	paewng	pɑŋ	ㄅㄤ	ㄅㄤ
74	栙	江開二平江匣	haewng	ɦiɑŋ˩	꜁ㄒㄧㄤ	꜁ㄒㄧㄤ
75	胮	江開二平江滂	phaewng	pʰɑŋ	ㄆㄤ	ㄆㄤ
76	瀧	江開二平江來	laewng	lɑŋ˩	꜁ㄌㄤ	꜁ㄌㄤ
77	雙	江開二平江生	sraewng	ʂwɑŋ	ㄕㄨㄤ	ㄕㄨㄤ
78	龐	江開二平江並	baewng	pʱɑŋ˩	꜁ㄆㄤ	꜁ㄆㄤ
79	肛	江開二平江曉	xaewng	hiɑŋ	ㄒㄧㄤ	ㄒㄧㄤ
80	胦	江開二平江影	’aewng	ʔiɑŋ	ㄧㄤ	ㄧㄤ
81	腔	江開二平江溪	khaewng	kʰiɑŋ	ㄑㄧㄤ	ㄑㄧㄤ
82	幢	江開二平江澄	draewng	ʈʂʱwɑŋ˩	꜁ㄔㄨㄤ	꜁ㄔㄨㄤ
83	憃	江開二平江徹	trhaewng	ʈʂʰwɑŋ	ㄔㄨㄤ	ㄔㄨㄤ
84	樁	江開二平江知	traewng	ʈʂwɑŋ	ㄓㄨㄤ	ㄓㄨㄤ
85	㟅	江開二平江疑	ngaewng	(ŋ)iɑŋ˩	꜁(ㄫ)ㄧㄤ	꜁ㄧㄤ
86	淙	江開二平江崇	dzraewng	ʈʂʱwɑŋ˩	꜁ㄔㄨㄤ	꜁ㄔㄨㄤ
87	支	止開三平支章	tsye	tʃiɨ	ㄓ	ㄓ
88	移	止開三平支以	ye	ji˩	꜁ㄧ	꜁ㄧ
89	爲	止合三平支云	hjwe	ui˩	꜁ㄨㄟ	꜁ㄨㄟ
90	嬀	止合三平支見B	kjwe	kui	ㄍㄨㄟ	ㄍㄨㄟ
91	𪎮	止合三平支曉B	xjwe	hui	ㄏㄨㄟ	ㄏㄨㄟ
92	逶	止合三平支影B	’jwe	ʔui	ㄨㄟ	ㄨㄟ
93	糜	止開三平支明B	mje	mi˩	꜁ㄇㄧ	꜁ㄇㄧ
94	隓	止合三平支曉A	xjwie	hui	ㄏㄨㄟ	ㄏㄨㄟ
95	鬌	止合三平支澄	drjwe	ʈʂʱui˩	꜁ㄔㄨㄟ	꜁ㄔㄨㄟ
96	𡍮	止合三平支常	dzywe	ʈʂʱui˩	꜁ㄔㄨㄟ	꜁ㄔㄨㄟ
97	羸	止合三平支來	ljwe	lui˩	꜁ㄌㄨㄟ	꜁ㄌㄨㄟ
98	吹	止合三平支昌	tsyhwe	ʈʂʰui	ㄔㄨㄟ	ㄔㄨㄟ
99	鈹	止開三平支滂B	phje	pʰi	ㄆㄧ	ㄆㄧ
100	陂	止開三平支幫B	pje	pi	ㄅㄧ	ㄅㄧ
101	隨	止合三平支邪	zjwe	sʱui˩	꜁ㄙㄨㄟ	꜁ㄙㄨㄟ
102	虧	止合三平支溪B	khjwe	kʰui	ㄎㄨㄟ	ㄎㄨㄟ
103	闚	止合三平支溪A	khjwie	kʰui	ㄎㄨㄟ	ㄎㄨㄟ
104	竒	止開三平支羣B	gje	kʱi˩	꜁ㄑㄧ	꜁ㄑㄧ
105	祇	止開三平支羣A	gjie	kʱi˩	꜁ㄑㄧ	꜁ㄑㄧ
106	犧	止開三平支曉B	xje	hi	ㄒㄧ	ㄒㄧ
107	㩻	止開三平支溪B	khje	kʰi	ㄑㄧ	ㄑㄧ
108	宜	止開三平支疑B	ngje	(ŋ)i˩	꜁(ㄫ)ㄧ	꜁(ㄫ)ㄧ
109	皮	止開三平支並B	bje	pʱi˩	꜁ㄆㄧ	꜁ㄆㄧ
110	提	止開三平支常	dzye	ʃʱiɨ˩	꜁ㄕ	꜁ㄕ
111	兒	止開三平支日	nye	ɻ˩	꜁ㄦ	꜁ㄦ
112	離	止開三平支來	lje	li˩	꜁ㄌㄧ	꜁ㄌㄧ
113	疵	止開三平支從	dzje	tsʱɨ˩	꜁ㄘㄭ	꜁ㄘ
114	貲	止開三平支精	tsje	tsɨ	ㄗㄭ	ㄗ
115	羈	止開三平支見B	kje	ki	ㄐㄧ	ㄐㄧ
116	卑	止開三平支幫A	pjie	pi	ㄅㄧ	ㄅㄧ
117	陴	止開三平支並A	bjie	pʱi˩	꜁ㄆㄧ	꜁ㄆㄧ
118	䌳	止開三平支書	sye	ʃiɨ	ㄕ	ㄕ
119	斯	止開三平支心	sje	sɨ	ㄙㄭ	ㄙ
120	差	止開三平支初	tsrhje	ʈʂʰɨ	ㄔㄭ	ㄔ
121	摛	止開三平支徹	trhje	tʃʰi	ㄔㄧ	ㄔ
122	彌	止開三平支明A	mjie	mi˩	꜁ㄇㄧ	꜁ㄇㄧ
123	雌	止開三平支清	tshje	tsʰɨ	ㄘㄭ	ㄘ
124	知	止開三平支知	trje	tʃi	ㄓㄧ	ㄓ
125	漪	止開三平支影B	’je	ʔi	ㄧ	ㄧ
126	馳	止開三平支澄	drje	tʃʱi˩	꜁ㄔㄧ	꜁ㄔ
127	眭	止合三平支心	sjwe	sui	ㄙㄨㄟ	ㄙㄨㄟ
128	危	止合三平支疑B	ngjwe	ŋui˩	꜁ㄫㄨㄟ	꜁ㄨㄟ
129	詑	止開三平支曉A	xjie	hi	ㄒㄧ	ㄒㄧ
130	釃	止開三平支生	srje	ʂɨ	ㄕㄭ	ㄕ
131	䪎	止合三平支生	srjwe	ʂui	ㄕㄨㄟ	ㄕㄨㄟ
132	痿	止合三平支日	nywe	ʒui˩	꜁ㄖㄨㄟ	꜁ㄖㄨㄟ
133	厜	止開三平支精	tsje	tsɨ	ㄗㄭ	ㄗ
134	𩓸	止合三平支見A	kjwie	kui	ㄍㄨㄟ	ㄍㄨㄟ
135	劑	止合三平支精	tsjwe	tsui	ㄗㄨㄟ	ㄗㄨㄟ
136	衰	止合三平支初	tsrhjwe	ʈʂʰui/tsʰui	ㄔㄨㄟ/ㄘㄨㄟ	ㄔㄨㄟ/ㄘㄨㄟ
137	腄	止合三平支知	trjwe	ʈʂui	ㄓㄨㄟ	ㄓㄨㄟ
138	䮔	止合三平支精	tsjwe	tsui	ㄗㄨㄟ	ㄗㄨㄟ
139	眵	止開三平支昌	tsyhe	tʃʰiɨ	ㄔ	ㄔ
140	齜	止開三平支莊	tsrje	ʈʂɨ	ㄓㄭ	ㄓ
141	𤿎	止開三平支滂A	phjie	pʰi	ㄆㄧ	ㄆㄧ
142	䔺	止合三平支以	ywe	ui˩	꜁ㄨㄟ	꜁ㄨㄟ
143	齹	止開三平支崇	dzrje	ʈʂʱɨ˩	꜁ㄔㄭ	꜁ㄔ
144	脂	止開三平脂章	tsyij	tʃiɨ	ㄓ	ㄓ
145	姨	止開三平脂以	yij	ji˩	꜁ㄧ	꜁ㄧ
146	師	止開三平脂生	srij	ʂɨ	ㄕㄭ	ㄕ
147	𣬈	止開三平脂並A	bjij	pʱi˩	꜁ㄆㄧ	꜁ㄆㄧ
