# Classic Mandarin IPA transcription
# version: 20190510
# author: hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# The transcription is intended to reflect the system of 洪武正韻譯訓, but considering the actual phonetics of modern forms of Classic Mandarin (e.g. the Classic Mandarin vocalization found in Kun Opera), the following simplifications maybe applied upon the transcribed system:
#  Syllable codae -p -t -k maybe merged to glottal stop -[ʔ];
#  Breathy fricatives ʂʱ ʃʱ sʱ fʱ ɦ may each be merged into [ʂ] [ʃ] [s] [f] [h]~[x] respectively;
#  While preceding /i/ or /y/, velar and glottal consonants /k/ /kh/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ may be palatalized and fricativized to [tɕ] [tɕʰ] [dʑ] [j] [j] [ɕ] [ɕ(ʱ)] respectively;
#  finals -iaw and -iɛw may be merged.
# 洪武正韻gloss is extracted from data digitalized by Kanseki Repository. Baxter-Sagart gloss is from Baxter-Sagart Old Chinese reconstruction. 廣韻gloss is from ytenx.org.
# Transcription and data organization is done by hhliow (github.com/hhliow).
字	異體	ytenx小韻號	洪武正韻譯訓音(IPA)	洪武正韻譯訓音	洪武正韻gloss	對應廣韻字號	Baxter-Sagart disambiguator	廣韻gloss
乂		1274	(ŋ)ǐ	ㄫㄧ꜅	治也俊乂也又割也通作艾又泰韻	17059	mow, cut (v.)	才也
事	亊	1264	ʂʱɨ̌	ㄕ꜅	世務大曰政小曰事紀綱法度曰政動作云為曰事三公之任曰三事六卿之任曰六事又奉也營也治也職也采也載也	?		
亙	亘	1782	kə̌ŋ	ㄍㄥ꜄	居鄧切延袤也極也通也徧也亦作㮓中从舟今作月與亘字不同監本作亘誤	19255		通也遍也竟也出方言古鄧切六
亨		501	həŋ	ㄏㄥ	虚庚切通也又彭亨腹脹貌韓文石鼎聨句豕腹脹彭亨又見下又養韻	7612	penetrate	通也或作亯又匹庚許兩二切
仕		700	ʂʱɨ̌'	ㄕ'꜅	仕文學也从人士聲廣韻仕宦也	?		
仕		1264	ʂʱɨ̌	ㄕ꜅	仕宦又紙韻	?		
他	她牠	1646	d(w)ɔ̌	ㄉㄛ꜅	方言凡以驢馬馲駝載物者謂之負他又歌韻	?		
仰		1051	ŋiɑ̂ŋ	꜂ㄫㄧㄤ	魚兩切舉也反首望也又青帝名靈威仰又偃仰仰卧也亦作卬又陽韻	13255	lift the face, look up	偃仰也說文舉也魚兩切三
伎		1260	tʃɨ̌	ㄓ꜄	同上(忮)廣韻引詩鞫人伎忒又奇寄切又支紙二韻	14740		傷害也詩云鞫人伎忒亦作忮
佗	它	1656	tʰ(w)ɔ̌	ㄊㄛ꜄	加也詩予之佗矣又支歌韻	?		
倉		1701	ʈʂʰwɑ̌ŋ	ㄔㄨㄤ꜄	喪也詩倉兄塡兮又陽韻	?		
倪		1274	(ŋ)ǐ	ㄫㄧ꜅	同上(堄)左傳守陴者皆哭杜預曰陴城上僻倪也又天倪自然之分又齊麻二韻	?		
倯		20	syuŋ	ㄙㄩㄨㆭ		641		倯恭怯皃
元		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	善之長也又本也首也一也大也始也長也氣也左傳注人君即位欲其體元以居正故不言一年一月也公羊傳元年春者何君之始年也何休曰變一言元元者氣也漢文紀元元之民師古曰元元善意也	4262	head; first	大也始也長也氣也又姓左傳衞大夫元咺又後魏孝文改拓拔爲元氏望在河南愚𡊮切二十二
兌	兑	1408	jǔi	ㄨㄟ꜄	荀子仁人之兵兌則若莫耶之利鋒當之者潰新序作銳是兌與銳同史記天官書天棓長四尺末兌天槍長數丈兩頭兌並與銳同葢古作兌後人加金以别之耳俗作兊又屑韻又見上	?		
凇		20	syuŋ	ㄙㄩㄨㆭ	凍也	639		凍落之皃
凔		1701	ʈʂʰwɑ̌ŋ	ㄔㄨㄤ꜄	寒也荀子疾養凔熱漢枚乗傳欲湯之凔	?		
刈	苅	1274	(ŋ)ǐ	ㄫㄧ꜅	割也通作艾乂	17058	mow, cut	刈穫魚肺切八
刖		2042	(ŋ)jyuɛ̏ʔ(t)	ㄩㄝ꜇ㆵ	絶也斷足也从日月之月又轄韻从月誤	21437		絶也斷足刑也又五刮切
刱	剏剙創	1701	ʈʂʰwɑ̌ŋ	ㄔㄨㄤ꜄	初也說文造法刱業也通作創从刅刅楚良切俗作剏	18907	begin	上同「𠛝」(初也說文曰造法剏業也初亮切四)又初良切
剉		1652	dz(w)ɔ̌	ㆡㄛ꜅	才臥切折也刴斫也	?		
創	剙刱刅戧	1701	ʈʂʰwɑ̌ŋ	ㄔㄨㄤ꜄	楚浪切傷也始造也孟子創業垂綂又陽韻	18907	begin	上同「𠛝」(初也說文曰造法剏業也初亮切四)又初良切
劓	㓷	1274	(ŋ)ǐ	ㄫㄧ꜅	刑鼻又見上	15074	cut off the nose	割鼻漢文帝除肉刑劓者笞三百魚器切一
勩		1275	jǐj	ㄧ꜄	勞也又見上俗作勩	15217;16320		
卬	卭	1051	ŋiɑ̂ŋ	꜂ㄫㄧㄤ	詩瞻卬昊天漢王裒傳偃卬詘信音仰又陽韻从筯之匕从卩卩韻音音節	13257		望也欲有所度
卵		1017	l(w)ɔ̂	꜂ㄌㄛ		13053	egg	上同「𧝹」(又力管切)
厎	砥	1260	tʃɨ̌	ㄓ꜄	書震澤厎定史記音致又支紙二韻	?		
原		332	(ŋ)jyuɛ̏n	꜁ㄩㄢ	本也荀子宗原應變注宗原根本也説文作厵水原本也篆作厡亦作源又廣平之野曰原説文周禮作邍爾雅廣平曰原可食者曰原又再也國名又姓又推原也元氣元元之元與本原之原自可分押水原之原與源字不可雙押若用平原原筮伐原原道之類與源可分押又霰韻	4263	spring, source; origin	廣平曰原亦州名漢髙平縣[-/後]魏爲鎭[州▼州字當刪▲]又改原州蓋取髙平曰原爲名又姓孔子弟子有原憲說文本作邍原即與[厵/𠫐]同
原		1551	(ŋ)jyuɛ̌n	ㄩㄢ꜅	荀子原慤注原讀作愿論語鄉原徳之賊也孟子其惟鄉原乎朱氏曰原與愿同又先韻	?		
厵	源沅	332	(ŋ)jyuɛ̏n	꜁ㄩㄢ		4266		木名出豫章煎汁藏果及卵不壞
叡	睿	1408	jǔi	ㄨㄟ꜄	于芮切深明通達亦作睿䜭	16222		聖也
呭		1275	jǐj	ㄧ꜄	呭呭多言也亦作䛖詍	16344		呭樂說文曰多言也亦作㖂
