正韻卷番	韻目	IPA	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
1	東	tuŋ	平聲¶¶¶一東¶¶	東	徳紅切	1	東	德紅切
1	東	thuŋ	○	通	佗紅切	2	通	他紅切
1	東	tɦȕŋ	○	同	徒紅切	3	同	徒紅切
1	東	lȕŋ	○	龍	盧容切	4	龍	盧容切
1	東	lyȕŋ	○	隆	良中切	5	隆	良中切
1	東	pɦȕŋ	○	蓬	蒲紅切	6	蓬	蒲紅切
1	東	mȕŋ	○	蒙	莫紅切	7	蒙	莫紅切
1	東	tshuŋ	○	悤	倉紅切	8	悤	倉紅切
1	東	tsuŋ	○	宗	祖冬切	9	宗	祖冬切
1	東	tsyuŋ	○	縱	將容切	10	縱	將容切
1	東	tsɦȕŋ	○	叢	徂紅切	11	叢	徂紅切
1	東	tsɦyȕŋ	○	從	牆容切	12	從	牆容切
1	東	ɦȕŋ	○	洪	胡公切	13	洪	胡公切
1	東	huŋ	○	烘	呼洪切	14	烘	呼洪切
1	東	khuŋ	○	空	苦紅切	15	空	苦紅切
1	東	kuŋ	○	公	古紅切	16	公	古紅切
1	東	ʔuŋ	○	翁	烏紅切	17	翁	烏紅切
1	東	fuŋ	○	風	方中切	18	風	方中切
1	東	fvȕŋ	○	馮	符中切	19	馮	符中切
1	東	syuŋ	○	松	息中切	20	松	息中切
1	東	tʃhyuŋ	○	充	昌中切	21	充	昌中切
1	東	tʃyuŋ	○	中	陟隆切	22	中	陟隆切
1	東	ʒyȕŋ	○	戎	而中切	23	戎	而中切
1	東	ʈʂɦȕŋ	○	崇	鉏中切	24	崇	鉏中切
1	東	tʃɦyȕŋ	○	蟲	持中切	25	蟲	持中切
1	東	jyȕŋ	○	融	以中切	26	融	以中切
1	東	ŋyȕŋ	○	顒	魚容切	27	顒	魚容切
1	東	kyuŋ	○	弓	居中切	28	弓	居中切
1	東	khyuŋ	○	穹	丘中切	29	穹	丘中切
1	東	kɦyȕŋ	○	窮	渠宮切	30	窮	渠宮切
1	東	nȕŋ	○	農	奴宗切	31	農	奴宗切
