# Middle Chinese to Mandarin syllable mapping (work in progress)
# version: 20190512
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
# The Middle Chinese syllables are transcribed using Baxter transcription.
# The Mandarin IPA transcription is intended to reflect the system of 洪武正韻譯訓. The following modern phonetic realization are not marked explicitly:
#  Merge of syllable codae -p -t -k to glottal stop [ʔ];
#  Omission of breathiness in breathy fricatives ʂʱ ʃʱ sʱ fʱ ɦ (resulting in merge with [ʂ] [ʃ] [s] [f] [h]~[x] respectively);
#  Palatalization and frictivization of /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ or /y/;
#  Merge of -iaw and -iɛw.
kwangx_ghiunh_entry	middle_chinese_to_mandarin_mapping
1(東)	東(tuwng)->東(tuŋ)
2(菄)	菄(tuwng)->菄(tuŋ)
9(涷)	涷(tuwng)->涷(tuŋ)
10(蝀)	蝀(tuwng)->蝀(tuŋ)
18(同)	同(duwng)->同(tʱȕŋ)
19(仝)	仝(duwng)->仝(tʱȕŋ)
20(童)	童(duwng)->童(tʱȕŋ)
21(僮)	僮(duwng)->僮(tʱȕŋ)
22(銅)	銅(duwng)->銅(tʱȕŋ)
23(桐)	桐(duwng)->桐(tʱȕŋ)
24(峒)	峒(duwng)->峒(tʱȕŋ)
26(𦨴)	𦨴(duwng)->𦨴(tʱȕŋ)
28(筒)	筒(duwng)->筒(tʱȕŋ)
29(瞳)	瞳(duwng)->瞳(tʱȕŋ)
30(㼧)	㼧(duwng)->㼧(tʱȕŋ)
32(罿)	罿(duwng)->罿(tʱȕŋ)
33(犝)	犝(duwng)->犝(tʱȕŋ)
34(筩)	筩(duwng)->筩(tʱȕŋ)
35(潼)	潼(duwng)->潼(tʱȕŋ)
36(曈)	曈(duwng)->曈(tʱȕŋ)
38(侗)	侗(duwng)->侗(tʱȕŋ)
39(橦)	橦(duwng)->橦(tʱȕŋ)
39(橦)	幢(duwng)->幢(tʱȕŋ)
41(䴀)	䴀(duwng)->䴀(tʱȕŋ)
42(挏)	挏(duwng)->挏(tʱȕŋ)
43(酮)	酮(duwng)->酮(tʱȕŋ)
44(鮦)	鮦(duwng)->鮦(tʱȕŋ)
46(𦏆)	𦏆(duwng)->𦏆(tʱȕŋ)
49(蕫)	蕫(duwng)->蕫(tʱȕŋ)
50(穜)	穜(duwng)->穜(tʱȕŋ)
51(衕)	衕(duwng)->衕(tʱȕŋ)
57(絧)	絧(duwng)->絧(tʱȕŋ)
63(中)	中(trjuwng)->中(tʃyuŋ)
64(衷)	衷(trjuwng)->衷(tʃyuŋ)
65(忠)	忠(trjuwng)->忠(tʃyuŋ)
67(蟲)	蟲(drjuwng)->蟲(tʃʱyȕŋ)
70(盅)	盅(drjuwng)->盅(tʃʱyȕŋ)
71(爞)	爞(drjuwng)->爞(tʃʱyȕŋ)
74(終)	終(tsyuwng)->終(tʃyuŋ)
75(衆)	衆(tsyuwng)->衆(tʃyuŋ)
75(衆)	眾(tsyuwng)->眾(tʃyuŋ)
78(螽)	螽(tsyuwng)->螽(tʃyuŋ)
79(𧑄)	𧑄(tsyuwng)->𧑄(tʃyuŋ)
80(鼨)	鼨(tsyuwng)->鼨(tʃyuŋ)
81(蔠)	蔠(tsyuwng)->蔠(tʃyuŋ)
83(𩅧)	𩅧(tsyuwng)->𩅧(tʃyuŋ)
89(忡)	忡(trhjuwng)->忡(tʃʰyuŋ)
92(崇)	崇(dzrjuwng)->崇(ʈʂʱȕŋ)
92(崇)	崈(dzrjuwng)->崈(ʈʂʱȕŋ)
96(嵩)	嵩(sjuwng)->嵩(syuŋ)
97(崧)	崧(sjuwng)->崧(syuŋ)
98(𪀚)	𪀚(sjuwng)->𪀚(syuŋ)
99(娀)	娀(sjuwng)->娀(syuŋ)
100(菘)	菘(sjuwng)->菘(syuŋ)
105(戎)	戎(nyuwng)->戎(ʒyȕŋ)
107(茙)	茙(nyuwng)->茙(ʒyȕŋ)
109(駥)	駥(nyuwng)->駥(ʒyȕŋ)
112(狨)	狨(nyuwng)->狨(ʒyȕŋ)
113(絨)	絨(nyuwng)->絨(ʒyȕŋ)
114(弓)	弓(kjuwng)->弓(kyuŋ)
115(躳)	躳(kjuwng)->躳(kyuŋ)
116(躬)	躬(kjuwng)->躬(kyuŋ)
118(宮)	宮(kjuwng)->宮(kyuŋ)
119(匑)	匑(kjuwng)->匑(kyuŋ)
120(融)	融(yuwng)->融(jyȕŋ)
121(肜)	肜(yuwng)->肜(jyȕŋ)
122(瀜)	瀜(yuwng)->瀜(jyȕŋ)
125(瞢)	瞢(mjuwng)->瞢(mȕŋ)
126(夢)	夢(mjuwng)->夢(mȕŋ)
128(懜)	懜(mjuwng)->懜(mȕŋ)
128(懜)	懵(mjuwng)->懵(mȕŋ)
131(穹)	穹(khjuwng)->穹(kʰyuŋ)
134(芎)	芎(khjuwng)->芎(kʰyuŋ)
135(𦵡)	𦵡(khjuwng)->𦵡(kʰyuŋ)
137(𥳎)	𥳎(khjuwng)->𥳎(kʰyuŋ)
138(窮)	窮(gjuwng)->窮(kʱyȕŋ)
139(藭)	藭(gjuwng)->藭(kʱyȕŋ)
141(馮)	馮(bjuwng)->馮(fʱȕŋ)
143(汎)	汎(bjuwng)->汎(fʱȕŋ)
144(芃)	芃(bjuwng)->芃(fʱȕŋ)
145(𨝭)	𨝭(bjuwng)->𨝭(fʱȕŋ)
146(渢)	渢(bjuwng)->渢(fʱȕŋ)
146(渢)	沨(bjuwng)->沨(fʱȕŋ)
147(梵)	梵(bjuwng)->梵(fʱȕŋ)
148(風)	風(pjuwng)->風(fuŋ)
148(風)	凨(pjuwng)->凨(fuŋ)
149(飌)	飌(pjuwng)->飌(fuŋ)
150(楓)	楓(pjuwng)->楓(fuŋ)
155(豐)	豐(phjuwng)->豐(fuŋ)
156(酆)	酆(phjuwng)->酆(fuŋ)
156(酆)	鄷(phjuwng)->鄷(fuŋ)
157(蘴)	蘴(phjuwng)->蘴(fuŋ)
158(灃)	灃(phjuwng)->灃(fuŋ)
159(寷)	寷(phjuwng)->寷(fuŋ)
160(麷)	麷(phjuwng)->麷(fuŋ)
163(充)	充(tsyhuwng)->充(tʃʰyuŋ)
164(珫)	珫(tsyhuwng)->珫(tʃʰyuŋ)
165(茺)	茺(tsyhuwng)->茺(tʃʰyuŋ)
166(㤝)	㤝(tsyhuwng)->㤝(tʃʰyuŋ)
170(隆)	隆(ljuwng)->隆(lyȕŋ)
171(癃)	癃(ljuwng)->癃(lyȕŋ)
172(𪔳)	𪔳(ljuwng)->𪔳(lyȕŋ)
173(窿)	窿(ljuwng)->窿(lyȕŋ)
174(霳)	霳(ljuwng)->霳(lyȕŋ)
176(空)	空(khuwng)->空(kʰuŋ)
177(箜)	箜(khuwng)->箜(kʰuŋ)
178(崆)	崆(khuwng)->崆(kʰuŋ)
179(椌)	椌(khuwng)->椌(kʰuŋ)
182(悾)	悾(khuwng)->悾(kʰuŋ)
184(倥)	倥(khuwng)->倥(kʰuŋ)
187(𦱇)	𦱇(khuwng)->𦱇(kʰuŋ)
188(𢃐)	𢃐(khuwng)->𢃐(kʰuŋ)
190(公)	公(kuwng)->公(kuŋ)
191(功)	功(kuwng)->功(kuŋ)
192(工)	工(kuwng)->工(kuŋ)
194(蚣)	蚣(kuwng)->蚣(kuŋ)
195(玒)	玒(kuwng)->玒(kuŋ)
196(釭)	釭(kuwng)->釭(kuŋ)
198(攻)	攻(kuwng)->攻(kuŋ)
199(㓚)	㓚(kuwng)->㓚(kuŋ)
203(蒙)	蒙(muwng)->蒙(mȕŋ)
203(蒙)	朦(muwng)->朦(mȕŋ)
203(蒙)	苎(muwng)->苎(mȕŋ)
203(蒙)	矇(muwng)->矇(mȕŋ)
203(蒙)	懞(muwng)->懞(mȕŋ)
204(冡)	冡(muwng)->冡(mȕŋ)
205(濛)	濛(muwng)->濛(mȕŋ)
206(𩦺)	𩦺(muwng)->𩦺(mȕŋ)
207(艨)	艨(muwng)->艨(mȕŋ)
208(䑃)	䑃(muwng)->䑃(mȕŋ)
209(矇)	矇(muwng)->矇(mȕŋ)
209(矇)	蒙(muwng)->蒙(mȕŋ)
209(矇)	苎(muwng)->苎(mȕŋ)
209(矇)	懞(muwng)->懞(mȕŋ)
209(矇)	朦(muwng)->朦(mȕŋ)
210(饛)	饛(muwng)->饛(mȕŋ)
216(鸏)	鸏(muwng)->鸏(mȕŋ)
217(幪)	幪(muwng)->幪(mȕŋ)
218(罞)	罞(muwng)->罞(mȕŋ)
219(𢄐)	𢄐(muwng)->𢄐(mȕŋ)
220(髳)	髳(muwng)->髳(mȕŋ)
223(雺)	雺(muwng)->雺(mȕŋ)
224(霿)	霿(muwng)->霿(mȕŋ)
226(朦)	朦(muwng)->朦(mȕŋ)
226(朦)	蒙(muwng)->蒙(mȕŋ)
226(朦)	懞(muwng)->懞(mȕŋ)
226(朦)	矇(muwng)->矇(mȕŋ)
226(朦)	苎(muwng)->苎(mȕŋ)
228(懜)	懜(muwng)->懜(mȕŋ)
228(懜)	懵(muwng)->懵(mȕŋ)
257(洪)	洪(huwng)->洪(ɦȕŋ)
257(洪)	洚(huwng)->洚(ɦȕŋ)
258(鉷)	鉷(huwng)->鉷(ɦȕŋ)
259(訌)	訌(huwng)->訌(ɦȕŋ)
260(紅)	紅(huwng)->紅(ɦȕŋ)
261(虹)	虹(huwng)->虹(ɦȕŋ)
263(鴻)	鴻(huwng)->鴻(ɦȕŋ)
264(葒)	葒(huwng)->葒(ɦȕŋ)
266(谼)	谼(huwng)->谼(ɦȕŋ)
269(洚)	洚(huwng)->洚(ɦȕŋ)
269(洚)	洪(huwng)->洪(ɦȕŋ)
270(渱)	渱(huwng)->渱(ɦȕŋ)
279(叢)	叢(dzuwng)->叢(tsʱȕŋ)
279(叢)	樷(dzuwng)->樷(tsʱȕŋ)
280(藂)	藂(dzuwng)->藂(tsʱȕŋ)
