# Potentially irregular pronunciation change in Peking
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
小韻號	字	中古音	推導北京白讀	普通話審音
3676	的	tek	dǐ	dì,dí,de
1736	我	ngaX	ě	wǒ
1134	尲	keam	jiān	gān
732	他	tha	tuō	tā,tuó
1547	很	honX	hèn	hěn
3290	一	’jit	yǐ	yī
188	時	dzyi	chí	shí
3725	得	tok	dě	dé,děi,de
3737	或	hwok	huó	yù,huò
2654	玩	ngwanH	wàn	wán
2435	最	tswajH	zuài	zuì,cuō
3352	吃	kj+t	jǐ	chī,qī
3363	發	pjot	fǎ	fā,bō
732	它	tha	tuō	tā,tuó,yí
2494	話	hwaejH	huài	huà
173	誰	dzywij	chuí	shuí,shéi
3789	哈	ngop	è	hà,hē,hé,hǎ,tà,shà
1338	所	srjoX	shǔ	suǒ
3682	喫	khek	qǐ	chī,kài
1565	算	swanX	suǎn	suàn
3576	各	kak	guǒ	gè,gě
3282	學	haewk	xiáo	xué,huá,jiào
3726	則	tsok	zě	zé
522	完	hwan	huán	wán,kuān
3615	拍	phaek	pǎi	pāi,bó
3810	接	tsjep	jiě	jiē,xié,shà,chā
1253	美	mijX	mǐ	měi
2275	未	mj+jH	wéi	wèi
3759	級	kip	jǐ	jí
2521	塊	khwojH	kuì	kuài
3731	黑	xok	hě	hēi
991	牛	ngjuw	yóu	niú
3608	額	ngaek	yè	é
3676	滴	tek	dǐ	dī
3702	式	syik	shǐ	shì,tè
3830	貼	thep	tiě	tiē
3751	入	nyip	rì	rù
3471	血	xwet	xuě	xuè,xiě
1810	爽	srjangX	shuǎng	shuǎng,shuāng
3738	國	kwok	guǒ	guó
2385	歲	sjwejH	xuì	suì,suò
1374	媽	muX	mǔ	mā
192	期	gi	qí	qī
3730	特	dok	dé	tè
2369	係	kejH	jì	xì
2252	值	driH	zhì	zhí
3187	哭	khuwk	kǔ	kū
77	雙	sraewng	shāng	shuāng
3476	跌	det	dié	diē,tú
3708	億	’ik	yǐ	yì,yī
3759	急	kip	jǐ	jí
3709	色	srik	shǐ	sè,shǎi
3725	德	tok	dě	dé
3729	克	khok	kě	kè
2473	呃	’eajH	yè	ài,è,e
651	跳	dew	tiáo	tiào,diào,táo
3430	八	peat	bǎ	bā
3291	七	tshit	qǐ	qī
3303	室	syit	shǐ	shì
197	詞	zi	sí	cí
3278	喔	’aewk	yǎo	wō,wū,ō,o
3470	節	tset	jiě	jié,jiē
3586	博	pak	bǒ	bó
3363	髮	pjot	fǎ	fà
3589	郭	kwak	guǒ	guō,guó
36	疼	downg	tóng	téng
3858	壓	’aep	yǎ	yā,yà
3479	捏	net	niè	niē
3656	隻	tsyek	zhǐ	huò,zhī
626	船	zywen	shuán	chuán
3610	客	khaek	qiě	kè,qià
4	沖	drjuwng	chóng	chōng
824	牀	dzrjang	chuáng	chuáng
3733	賊	dzok	zé	zéi
3200	福	pjuwk	fǔ	fú,fù
3306	必	pjit	bǐ	bì
3522	設	syet	shě	shè
12	熊	hjuwng	yóng	xióng
3848	插	tsrheap	chǎ	chā,zhǎ
3680	踢	thek	tǐ	tī,dié
3627	獲	hweak	huá	huò
2836	拖	thaH	tuò	tuō,chǐ
48	松	zjowng	sóng	sōng
1761	爸	baX	bè	bà
3047	富	pjuwH	fòu	fù
3469	結	ket	jiě	jié,jì,jiē
3436	嘎	keat	jiǎ	gā,gá,gǎ
1829	逛	kjwangX	guǎng	guàng,kuáng
1465	倍	bojX	bài	bèi,péi
880	榮	hjwaeng	yóng	róng
3714	逼	pik	bǐ	bī
3256	曲	khjowk	qǔ	qū
3707	測	tsrhik	chǐ	cè
825	莊	tsrjang	zhuāng	zhuāng
2895	狀	dzrjangH	zhuàng	zhuàng
2275	味	mj+jH	wéi	wèi,mèi
3778	答	top	dǎ	dá,dā
