# Correspondence between the characters in 洪武正韻 and 洪武正韻牋
# ytenx indices is of 20181031 at https://github.com/BYVoid/ytenx/commit/ae1b7ffd26378f869b5a2a24f1105e1099dd529d
# from file https://github.com/BYVoid/ytenx/blob/master/ytenx/sync/tcenghyonhtsen/Dzih.txt
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
正韻	正韻牋	ytenx_char_index(ytenx20181031)	ytenx小韻(ytenx20181031)
vol01_p01a_entry01_東	vol1_p096_entry01_東	1	1
vol01_p01a_entry02_涷	vol1_p096_entry02_涷	2	1
vol01_p01a_entry03_蝀	vol1_p097_entry01_蝀	3	1
vol01_p01a_entry04_冬	vol1_p098_entry01_冬	4	1
vol01_p01a_entry05_𩂓	vol1_p098_entry02_𩂓	5	1
vol01_p01a_entry06_通	vol1_p098_entry03_通	6	2
vol01_p01b_entry01_侗	vol1_p098_entry04_侗	7	2
vol01_p01b_entry02_恫	vol1_p099_entry01_恫	8	2
vol01_p01b_entry03_俑	vol1_p099_entry02_俑	9	2
vol01_p01b_entry04_桐	vol1_p099_entry03_桐	10	2
vol01_p01b_entry05_蓪	vol1_p099_entry04_蓪	11	2
vol01_p01b_entry06_同	vol1_p099_entry05_同	12	3
vol01_p01b_entry07_仝	vol1_p099_entry06_仝	13	3
vol01_p01b_entry08_童	vol1_p099_entry07_童	14	3
vol01_p01b_entry09_僮	vol1_p099_entry08_僮	15	3
vol01_p01b_entry10_侗	vol1_p100_entry01_侗	16	3
vol01_p01b_entry11_曈	vol1_p100_entry02_曈	17	3
vol01_p01b_entry12_朣	vol1_p100_entry03_朣	18	3
vol01_p02a_entry01_瞳	vol1_p100_entry04_瞳	19	3
vol01_p02a_entry02_銅	vol1_p100_entry05_銅	20	3
vol01_p02a_entry03_峒	vol1_p100_entry06_峒	21	3
vol01_p02a_entry04_桐	vol1_p100_entry07_桐	22	3
vol01_p02a_entry05_橦	vol1_p100_entry08_橦	23	3
vol01_p02a_entry06_絧	vol1_p100_entry09_絧	24	3
vol01_p02a_entry07_罿	vol1_p100_entry10_罿	25	3
vol01_p02a_entry08_𦨴	vol1_p100_entry11_𦨴	26	3
vol01_p02a_entry09_筒	vol1_p100_entry12_筒	14485	3
vol01_p02a_entry10_筩	vol1_p100_entry13_筩	27	3
vol01_p02a_entry11_穜	vol1_p101_entry01_穜	28	3
