IPA	正韻卷番	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
tuŋ	1	平聲¶¶¶一東¶¶	東	徳紅切	1	東	德紅切
thuŋ	1	○	通	佗紅切	2	通	他紅切
tɦȕŋ	1	○	同	徒紅切	3	同	徒紅切
lȕŋ	1	○	龍	盧容切	4	龍	盧容切
lyȕŋ	1	○	隆	良中切	5	隆	良中切
pɦȕŋ	1	○	蓬	蒲紅切	6	蓬	蒲紅切
mȕŋ	1	○	蒙	莫紅切	7	蒙	莫紅切
tshuŋ	1	○	悤	倉紅切	8	悤	倉紅切
tsuŋ	1	○	宗	祖冬切	9	宗	祖冬切
tsyuŋ	1	○	縱	將容切	10	縱	將容切
tsɦȕŋ	1	○	叢	徂紅切	11	叢	徂紅切
tsɦyȕŋ	1	○	從	牆容切	12	從	牆容切
ɦȕŋ	1	○	洪	胡公切	13	洪	胡公切
huŋ	1	○	烘	呼洪切	14	烘	呼洪切
khuŋ	1	○	空	苦紅切	15	空	苦紅切
kuŋ	1	○	公	古紅切	16	公	古紅切
ʔuŋ	1	○	翁	烏紅切	17	翁	烏紅切
fuŋ	1	○	風	方中切	18	風	方中切
fvȕŋ	1	○	馮	符中切	19	馮	符中切
syuŋ	1	○	松	息中切	20	松	息中切
tʃhyuŋ	1	○	充	昌中切	21	充	昌中切
tʃyuŋ	1	○	中	陟隆切	22	中	陟隆切
ʒyȕŋ	1	○	戎	而中切	23	戎	而中切
ʈʂɦȕŋ	1	○	崇	鉏中切	24	崇	鉏中切
tʃɦyȕŋ	1	○	蟲	持中切	25	蟲	持中切
jyȕŋ	1	○	融	以中切	26	融	以中切
(ŋ)jyȕŋ	1	○	顒	魚容切	27	顒	魚容切
kyuŋ	1	○	弓	居中切	28	弓	居中切
khyuŋ	1	○	穹	丘中切	29	穹	丘中切
kɦyȕŋ	1	○	窮	渠宮切	30	窮	渠宮切
nȕŋ	1	○	農	奴宗切	31	農	奴宗切
ʃyuŋ	1	○	舂	書容切	32	舂	書容切
hyuŋ	1	○	胷	許容切	33	胷	許容切
ʔyuŋ	1	○	邕	於容切	34	邕	於容切
ɦyȕŋ	1	○	雄	胡容切	35	雄	胡容切
tʃiɨ	1	二支¶¶	支	旨而切	36	支	旨而切
tʂɨ	1		葘	同上切	37	葘	莊持切
ʃiɨ	1	○	施	申之切	38	施	申之切
tʂhɨ	1	○	差	叉兹切	39	差	叉兹切
ʃʒiɨ̏	1	○	時	辰之切	40	時	辰之切
ɻ̏	1	○	兒	如支切	41	兒	如支切
sɨ	1	○	斯	相咨切	42	斯	相咨切
tshɨ	1	○	雌	此兹切	43	雌	此兹切
tsɨ	1	○	貲	津私切	44	貲	津私切
tsɦɨ̏	1	○	疵	才資切	45	疵	才資切
tʃi	1	○	知	珍而切	46	知	珍而切
tʃhi	1	○	摛	抽知切	47	摛	抽知切
tʃɦȉ	1	○	馳	陳知切	48	馳	陳知切
phi	1	○	紕	篇夷切	49	紕	篇夷切
pi	1	○	悲	逋眉切	50	悲	逋眉切
pɦȉ	1	○	皮	蒲糜切	51	皮	蒲麋切
mȉ	1	○	麋	忙皮切	52	麋	忙皮切
jȉ	1	○	夷	延知切	53	夷	延知切
kɦȉ	1	○	奇	渠宜切	54	奇	渠宜切
hi	1	○	羲	虛宜切	55	羲	虛宜切
ʔi	1	○	伊	於宜切	56	伊	於宜切
szɨ̏	1	○	詞	詳兹切	57	詞	詳兹切
vȉ	1	○	微	無非切	58	微	無非切
fvȉ	1	○	肥	符非切	59	肥	符非切
fi	1	○	霏	芳微切	60	霏	芳微切
tsɦiɪ̏i	1	三齊¶¶	齊	前西切	61	齊	前西切
siɪi	1	○	西	先齊切	62	西	先齊切
tshiɪi	1	○	妻	千西切	63	妻	千西切
tsiɪi	1	○	齎	牋西切	64	齎	牋西切
tiɪi	1	○	氐	都黎切	65	氐	都黎切
thiɪi	1	○	梯	天黎切	66	梯	天黎切
tɦiɪ̏i	1	○	題	杜兮切	67	題	杜兮切
niɪ̏i	1	○	泥	年題切	68	泥	年題切
(ŋ)jiɪ̏i	1	○	倪	研奚切	69	倪	研奚切
liɪ̏i	1	○	離	鄰溪切	70	離	鄰溪切
kiɪi	1	○	雞	堅溪切	71	雞	堅溪切
khiɪi	1	○	谿	牽奚切	72	谿	牽奚切
ɦiɪ̏i	1	○	兮	弦雞切	73	兮	弦雞切
miɪ̏i	1	○	迷	綿兮切	74	迷	綿衣切
piɪi	1	○	篦	邊迷切	75	篦	邊迷切
ʔiɪi	1	○	烓	淵畦切	76	烓	淵畦切
(ŋ)jy̏	2	¶四魚¶¶	魚	牛居切	77	魚	牛居切
jy̏	2	○	于	雲居切	78	于	雲俱切
ʔy	2	○	於	衣虚切	79	於	衣虛切
hy	2	○	虛	休居切	80	虛	休居切
khy	2	○	區	丘於切	81	區	丘於切
ky	2	○	居	斤於切	82	居	斤於切
kɦy̏	2	○	渠	求於切	83	渠	求於切
sy	2	○	胥	新於切	84	胥	新於切
tsy	2	○	疽	子余切	85	疽	子余切
szy̏	2	○	徐	祥於切	86	徐	祥於切
ʃy	2	○	書	商居切	87	書	商居切
tʃy	2	○	諸	専於切	88	諸	專於切
tʃɦy̏	2	○	除	長魚切	89	除	長魚切
ʃʒy̏	2	○	殊	尚朱切	90	殊	尚朱切
ʒy̏	2	○	如	人余切	91	如	人余切
ny̏	2	○	袽	女居切	92	袽	女居切
tʃhy	2	○	樞	抽居切	93	樞	抽居切
ly̏	2	○	閭	凌如切	94	閭	淩如切
tshy	2	○	趨	逡須切	95	趨	逡須切
mȕ	2	五模¶¶	模	莫胡切	96	模	莫胡切
phu	2	○	鋪	滂模切	97	鋪	滂模切
pu	2	○	逋	奔謨切	98	逋	奔謨切
tsu	2	○	租	宗蘇切	99	租	宗蘇切
tsɦȕ	2	○	徂	叢租切	100	徂	叢租切
pɦȕ	2	○	蒲	薄胡切	101	蒲	薄胡切
tu	2	○	都	東徒切	102	都	東徒切
tɦȕ	2	○	徒	同都切	103	徒	同都切
lȕ	2	○	盧	龍都切	104	盧	龍都切
nȕ	2	○	奴	農都切	105	奴	農都切
ɦȕ	2	○	胡	洪孤切	106	胡	洪孤切
ku	2	○	孤	攻乎切	107	孤	攻乎切
khu	2	○	枯	空胡切	108	枯	空胡切
hu	2	○	呼	荒胡切	109	呼	荒胡切
ŋȕ	2	○	吾	訛胡切	110	吾	訛胡切
tshu	2	○	麤	倉胡切	111	麤	倉胡切
ʔu	2	○	烏	汪胡切	112	烏	汪胡切
su	2	○	蘇	孫租切	113	蘇	孫租切
tʂhu	2	○	初	楚徂切	114	初	楚徂切
ʂu	2	○	蔬	山徂切	115	蔬	山徂切
fu	2	○	敷	芳無切	116	敷	芳無切
fvȕ	2	○	扶	逢夫切	117	扶	逢夫切
vȕ	2	○	無	微夫切	118	無	微夫切
kiai	2	六皆¶¶	皆	居諧切	119	皆	居諧切
khiai	2	○	𦂄	丘皆切	120	𦂄	丘皆切
ɦiȁi	2	○	諧	雄皆切	121	諧	雄皆切
kwai	2	○	乖	公懐切	122	乖	公懷切
ɦwȁi	2	○	懷	乎乖切	123	懷	乎乖切
