# Correspondence of ytenx's character index of 洪武正韻牋 and the character index in 洪武正韻
# as of 20181015 at https://github.com/BYVoid/ytenx/commit/ae1b7ffd26378f869b5a2a24f1105e1099dd529d
# from file https://github.com/BYVoid/ytenx/blob/master/ytenx/sync/tcenghyonhtsen/Dzih.txt
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
# 洪武正韻 character index is inferred from digitalization of 洪武正韻 by Kanseki Repository
# Inference and computation is done by hhliow (github.com/hhliow)
正韻字番	ytenx_char_index(ytenx20181015)	正韻牋字(ytenx20181015)	ytenx小韻(ytenx20181015)	正韻牋卷
1	1	東	1	1
2	2	涷	1	1
3	3	蝀	1	1
4	4	冬	1	1
5	5	𩂓	1	1
6	6	通	2	1
7	7	侗	2	1
8	8	恫	2	1
9	9	俑	2	1
10	10	桐	2	1
11	11	蓪	2	1
12	12	同	3	1
13	13	仝	3	1
14	14	童	3	1
15	15	僮	3	1
16	16	侗	3	1
17	17	曈	3	1
18	18	朣	3	1
19	19	瞳	3	1
20	20	銅	3	1
21	21	峒	3	1
22	22	桐	3	1
23	23	橦	3	1
24	24	絧	3	1
25	25	罿	3	1
26	26	𦨴	3	1
27	26.1		3	1
28	27	筩	3	1
29	28	穜	3	1
30	29	種	3	1
31	30	重	3	1
32	31	潼	3	1
33	32	衕	3	1
34	33	鮦	3	1
35	34	犝	3	1
36	35	𦏆	3	1
37	36	酮	3	1
38	37	挏	3	1
39	38	氃	3	1
40	39	詷	3	1
41	40	㢥	3	1
42	41	艟	3	1
43	42	彤	3	1
44	43	㤏	3	1
45	44	𢥞	3	1
46	45	鼕	3	1
47	46	浵	3	1
48	47	龍	4	1
49	48	𪚝	4	1
50	49	籠	4	1
51	50	櫳	4	1
52	51	㰍	4	1
53	52	䆍	4	1
54	53	聾	4	1
55	54	嚨	4	1
56	55	曨	4	1
57	56	朧	4	1
58	57	襱	4	1
59	58	豅	4	1
60	59	瓏	4	1
61	60	礱	4	1
62	61	龐	4	1
63	62	蘢	4	1
64	63	谾	4	1
65	64	瀧	4	1
66	65	𩟭	4	1
67	66	隆	5	1
68	67	癃	5	1
69	68	𪔳	5	1
70	69	窿	5	1
71	70	霳	5	1
72	71	䃧	5	1
73	72	蓬	6	1
74	73	芃	6	1
75	74	篷	6	1
76	75	韸	6	1
77	76	逢	6	1
78	77	髼	6	1
79	78	菶	6	1
80	79	塳	6	1
81	80	蒙	7	1
82	81	冡	7	1
83	82	幪	7	1
84	83	𢄐	7	1
85	84	髳	7	1
86	85	濛	7	1
87	86	雺	7	1
88	87	霿	7	1
89	88	曚	7	1
90	89	朦	7	1
91	90	䑃	7	1
92	91	艨	7	1
93	92	矇	7	1
94	93	饛	7	1
95	94	罞	7	1
96	95	懵	7	1
97	96	夢	7	1
98	97	瞢	7	1
99	98	懜	7	1
100	99	悤	8	1
101	100	囱	8	1
102	101	忩	8	1
103	102	蔥	8	1
104	103	䡯	8	1
105	104	聰	8	1
106	105	𢊕	8	1
107	106	璁	8	1
108	107	驄	8	1
109	108	樅	8	1
110	109	鏦	8	1
111	110	從	8	1
112	111	蓯	8	1
113	112	宗	9	1
114	113	㚇	9	1
115	114	翪	9	1
116	115	騣	9	1
117	116	鬉	9	1
118	117	豵	9	1
119	118	猣	9	1
120	119	椶	9	1
121	120	稯	9	1
122	121	緵	9	1
123	122	總	9	1
124	123	摠	9	1
125	124	嵏	9	1
126	125	嵸	9	1
127	126	𨍈	9	1
128	127	鬷	9	1
129	128	艐	9	1
130	129	朡	9	1
131	130	葼	9	1
132	131	縱	10	1
133	132	蹤	10	1
134	133	樅	10	1
135	134	叢	11	1
136	135	樷	11	1
137	136	䕺	11	1
138	137	藂	11	1
139	138	𥵫	11	1
140	139	潨	11	1
141	140	賨	11	1
142	141	悰	11	1
143	142	琮	11	1
144	143	慒	11	1
145	144	淙	11	1
146	145	訟	11	1
147	146	從	12	1
148	147	洪	13	1
149	148	洚	13	1
150	149	紅	13	1
151	150	葒	13	1
152	151	䜫	13	1
153	152	谼	13	1
154	153	鴻	13	1
155	154	虹	13	1
156	155	訌	13	1
157	156	渱	13	1
158	157	鉷	13	1
159	158	䃔	13	1
160	159	𩘎	13	1
161	160	烘	14	1
162	161	空	15	1
163	162	悾	15	1
164	163	𢃐	15	1
165	164	椌	15	1
166	165	倥	15	1
167	166	箜	15	1
168	167	崆	15	1
169	168	𦱇	15	1
170	169	公	16	1
171	170	功	16	1
172	171	紅	16	1
173	172	工	16	1
174	173	攻	16	1
175	174	㓚	16	1
176	175	釭	16	1
177	176	玒	16	1
178	177	蚣	16	1
179	178	翁	17	1
180	179	𩔚	17	1
181	180	蓊	17	1
182	181	螉	17	1
183	182	風	18	1
184	183	飌	18	1
185	184	楓	18	1
186	185	豐	18	1
187	186	酆	18	1
188	187	灃	18	1
189	188	蘴	18	1
190	189	麷	18	1
191	190	丰	18	1
192	191	夆	18	1
193	192	鋒	18	1
194	193	鏠	18	1
195	194	烽	18	1
196	194.1		18	1
197	195	逢	18	1
198	196	峯	18	1
199	197	蠭	18	1
200	198	蜂	18	1
201	199	𧒒	18	1
202	200	桻	18	1
203	201	封	18	1
204	202	葑	18	1
205	203	犎	18	1
206	204	崶	18	1
207	205	馮	19	1
208	206	渢	19	1
209	207	芃	19	1
210	208	汎	19	1
211	209	梵	19	1
212	210	逢	19	1
213	211	縫	19	1
214	212	摓	19	1
215	213	松	20	1
216	214	淞	20	1
217	215	凇	20	1
218	216	菘	20	1
219	217	崧	20	1
220	218	𪀚	20	1
221	219	𢤄	20	1
222	220	鬆	20	1
223	221	娀	20	1
224	222	嵩	20	1
225	223	充	21	1
226	224	㤝	21	1
227	225	珫	21	1
228	226	忡	21	1
229	227	沖	21	1
230	228	冲	21	1
231	229	种	21	1
