通開一平東端	tung
通開一平東定	dung
通開三平東知	triung
通開三平東澄	driung
通開三平東章	cjung
通開三平東徹	thriung
通開三平東崇	zriung
通開三平東心	siung
通開三平東日	njung
通開三平東見	kiung
通開三平東以	jung
通開三平東云	iung
通開三平東明	miung
通開三平東溪	khiung
通開三平東羣	giung
通開三平東並	biung
通開三平東幫	piung
通開三平東滂	phiung
通開三平東昌	chjung
通開三平東來	liung
通開一平東溪	khung
通開一平東見	kung
通開一平東明	mung
通開一平東來	lung
通開一平東匣	ghung
通開一平東從	zung
通開一平東影	qung
通開一平東清	chung
通開一平東透	thung
通開一平東精	cung
通開一平東並	bung
通開一平東曉	hung
通開一平東疑	ngung
通開一平東心	sung
通開一平冬端	tuung
通開一平冬定	duung
通開一平冬從	zuung
通開一平冬泥	nuung
通開一平冬見	kuung
通開一平冬匣	ghuung
通開一平冬來	luung
通開一平冬精	cuung
通開一平冬心	suung
通開一平冬透	thuung
通開三平鍾章	cjyung
通開三平鍾來	lyung
通開三平鍾書	sjyung
通開三平鍾邪	zsyung
通開三平鍾昌	chjyung
通開三平鍾以	jyung
通開三平鍾幫	pyung
通開三平鍾曉	hyung
通開三平鍾疑	ngyung
通開三平鍾影	qyung
通開三平鍾孃	nryung
通開三平鍾澄	dryung
通開三平鍾從	zyung
通開三平鍾徹	thryung
通開三平鍾並	byung
通開三平鍾滂	phyung
通開三平鍾精	cyung
通開三平鍾日	njyung
通開三平鍾羣	gyung
通開三平鍾常	zjyung
通開三平鍾見	kyung
通開三平鍾心	syung
通開三平鍾清	chyung
通開三平鍾溪	khyung
江開二平江見	krung
江開二平江明	mrung
江開二平江孃	nrung
江開二平江初	chrung
江開二平江幫	prung
江開二平江匣	ghrung
江開二平江滂	phrung
江開二平江來	lrung
江開二平江生	srung
江開二平江並	brung
江開二平江曉	hrung
江開二平江影	qrung
江開二平江溪	khrung
江開二平江澄	drung
江開二平江徹	thrung
江開二平江知	trung
江開二平江疑	ngrung
江開二平江崇	zrung
止開三平支章	cje
止開三平支以	je
止合三平支云	ye
止合三平支見B	kye
止合三平支曉B	hye
止合三平支影B	qye
止開三平支明B	mie
止合三平支曉A	hjye
止合三平支澄	drye
止合三平支常	zjye
止合三平支來	lye
止合三平支昌	chjye
止開三平支滂B	phie
止開三平支幫B	pie
止合三平支邪	zsye
止合三平支溪B	khye
止合三平支溪A	khjye
止開三平支羣B	gie
止開三平支羣A	gje
止開三平支曉B	hie
止開三平支溪B	khie
止開三平支疑B	ngie
止開三平支並B	bie
止開三平支常	zje
止開三平支日	nje
止開三平支來	lie
止開三平支從	zie
止開三平支精	cie
止開三平支見B	kie
